Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00079	Serpin (serine protease inhibitor)	pfam	domain	IPR023796		
PF00080	Copper/zinc superoxide dismutase (SODC)	pfam	domain	IPR001424		
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	pfam	domain	IPR019831		
PF00082	Subtilase family	pfam	domain	IPR000209		
PF00083	Sugar (and other) transporter	pfam	family	IPR005828		
PF00084	Sushi repeat (SCR repeat)	pfam	domain	IPR000436		
PF00085	Thioredoxin	pfam	domain	IPR013766		
PF00086	Thyroglobulin type-1 repeat	pfam	domain	IPR000716		
PF00087	Snake toxin and toxin-like protein	pfam	domain	IPR035076		
PF00088	Trefoil (P-type) domain	pfam	domain	IPR000519		
PF00089	Trypsin	pfam	domain	IPR001254		
PF00090	Thrombospondin type 1 domain	pfam	domain	IPR000884		
PF00091	Tubulin/FtsZ family, GTPase domain	pfam	domain	IPR003008		
PF00092	von Willebrand factor type A domain	pfam	domain	IPR002035		
PF00093	von Willebrand factor type C domain	pfam	domain	IPR001007		
PF00094	von Willebrand factor type D domain	pfam	domain	IPR001846		
PF00095	WAP-type (Whey Acidic Protein) 'four-disulfide core'	pfam	domain	IPR008197		
PF00096	Zinc finger, C2H2 type	pfam	domain	IPR013087		
PF00097	Zinc finger, C3HC4 type (RING finger)	pfam	domain	IPR018957		
PF00098	Zinc knuckle	pfam	domain	IPR001878		
PF00100	Zona pellucida-like domain	pfam	family	IPR001507		
PF00102	Protein-tyrosine phosphatase	pfam	domain	IPR000242		
PF00103	Somatotropin hormone family	pfam	domain	IPR001400		
PF00104	Ligand-binding domain of nuclear hormone receptor	pfam	domain	IPR000536		
PF00105	Zinc finger, C4 type (two domains)	pfam	domain	IPR001628		
PF00106	short chain dehydrogenase	pfam	domain	IPR002347		
PF00107	Zinc-binding dehydrogenase	pfam	domain	IPR013149		
PF00108	Thiolase, N-terminal domain	pfam	domain	IPR020616		
PF00109	Beta-ketoacyl synthase, N-terminal domain	pfam	domain	IPR014030		
PF00110	wnt family	pfam	family	IPR005817		
PF00111	2Fe-2S iron-sulfur cluster binding domain	pfam	domain	IPR001041		
PF00112	Papain family cysteine protease	pfam	domain	IPR000668		
PF00113	Enolase, C-terminal TIM barrel domain	pfam	domain	IPR020810		
PF00115	Cytochrome C and Quinol oxidase polypeptide I	pfam	family	IPR000883		
PF00116	Cytochrome C oxidase subunit II, periplasmic domain	pfam	domain	IPR002429		
PF00117	Glutamine amidotransferase class-I	pfam	domain	IPR017926		
PF00118	TCP-1/cpn60 chaperonin family	pfam	family	IPR002423		
PF00119	ATP synthase A chain	pfam	domain	IPR000568		
PF00120	Glutamine synthetase, catalytic domain	pfam	domain	IPR008146		
PF00121	Triosephosphate isomerase	pfam	domain	IPR000652		
PF00122	E1-E2 ATPase	pfam	family			
PF00123	Peptide hormone	pfam	family	IPR000532		
PF00125	Core histone H2A/H2B/H3/H4	pfam	domain	IPR007125		
PF00128	Alpha amylase, catalytic domain	pfam	domain	IPR006047		
PF00129	Class I Histocompatibility antigen, domains alpha 1 and 2	pfam	domain	IPR011161		
PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	pfam	domain	IPR002219		
PF00131	Metallothionein	pfam	domain	IPR003019		
PF00132	Bacterial transferase hexapeptide (six repeats)	pfam	repeat	IPR001451		
PF00133	tRNA synthetases class I (I, L, M and V)	pfam	family	IPR002300		
PF00134	Cyclin, N-terminal domain	pfam	domain	IPR006671		
PF00135	Carboxylesterase family	pfam	domain	IPR002018		
PF00136	DNA polymerase family B	pfam	family	IPR006134		
PF00137	ATP synthase subunit C	pfam	family	IPR002379		
PF00143	Interferon alpha/beta domain	pfam	domain	IPR000471		
PF00144	Beta-lactamase	pfam	domain	IPR001466		
PF00145	C-5 cytosine-specific DNA methylase	pfam	domain	IPR001525		
PF00146	NADH dehydrogenase	pfam	family	IPR001694		
PF00147	Fibrinogen beta and gamma chains, C-terminal globular domain	pfam	domain	IPR002181		
PF00149	Calcineurin-like phosphoesterase	pfam	domain	IPR004843		
PF00151	Lipase	pfam	domain	IPR013818		
PF00152	"tRNA synthetases class II (D, K and N) "	pfam	domain	IPR004364		
PF00153	Mitochondrial carrier protein	pfam	repeat	IPR018108		
PF00155	Aminotransferase class I and II	pfam	domain	IPR004839		
PF00156	Phosphoribosyl transferase domain	pfam	domain	IPR000836		
PF00157	Pou domain - N-terminal to homeobox domain	pfam	domain	IPR000327		
PF00159	Pancreatic hormone peptide	pfam	family	IPR001955		
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	pfam	domain	IPR002130		
PF00162	Phosphoglycerate kinase	pfam	domain	IPR001576		
PF00163	Ribosomal protein S4/S9 N-terminal domain	pfam	family	IPR001912		
PF00164	Ribosomal protein S12/S23	pfam	family	IPR006032		
PF00166	Chaperonin 10 Kd subunit	pfam	domain	IPR020818		
PF00167	Fibroblast growth factor	pfam	domain	IPR002209		
PF00168	C2 domain	pfam	domain	IPR000008		
PF00169	PH domain	pfam	domain	IPR001849		
PF00170	bZIP transcription factor	pfam	unknown	IPR004827		
PF00171	Aldehyde dehydrogenase family	pfam	family	IPR015590		
PF00173	Cytochrome b5-like Heme/Steroid binding domain	pfam	domain	IPR001199		
PF00174	Oxidoreductase molybdopterin binding domain	pfam	domain	IPR000572		
PF00175	"Oxidoreductase NAD-binding domain "	pfam	domain	IPR001433		
PF00176	SNF2-related domain	pfam	domain	IPR000330		
PF00177	Ribosomal protein S7p/S5e	pfam	domain	IPR023798		
PF00178	Ets-domain	pfam	domain	IPR000418		
PF00179	Ubiquitin-conjugating enzyme	pfam	domain	IPR000608		
PF00180	Isocitrate/isopropylmalate dehydrogenase	pfam	domain	IPR024084		
PF00181	Ribosomal Proteins L2, RNA binding domain	pfam	domain	IPR022666		
PF00183	Hsp90 protein	pfam	family	IPR001404		
PF00184	Neurohypophysial hormones, C-terminal Domain	pfam	family	IPR000981		
PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	pfam	domain	IPR006131		
PF00186	Dihydrofolate reductase	pfam	domain	IPR001796		
PF00188	Cysteine-rich secretory protein family	pfam	domain	IPR014044		
PF00189	Ribosomal protein S3, C-terminal domain	pfam	domain	IPR001351		
PF00191	Annexin	pfam	domain	IPR018502		
PF00193	Extracellular link domain	pfam	domain	IPR000538		
PF00194	Eukaryotic-type carbonic anhydrase	pfam	domain	IPR001148		
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	pfam	domain	IPR001078		
PF00199	Catalase	pfam	domain	IPR011614		
PF00200	Disintegrin	pfam	domain	IPR001762		
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase	pfam	family	IPR002213		
PF00202	Aminotransferase class-III	pfam	domain	IPR005814		
PF00203	Ribosomal protein S19	pfam	domain	IPR002222		
PF00204	DNA gyrase B	pfam	domain	IPR013506		
PF00205	Thiamine pyrophosphate enzyme, central domain	pfam	domain	IPR012000		
PF00206	Lyase	pfam	domain	IPR022761		
PF00207	Alpha-2-macroglobulin family	pfam	family	IPR001599		
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	pfam	domain	IPR006096		
PF00209	Sodium:neurotransmitter symporter family	pfam	family	IPR000175		
PF00210	Ferritin-like domain	pfam	domain	IPR008331		
PF00211	Adenylate and Guanylate cyclase catalytic domain	pfam	domain	IPR001054		
PF00212	Atrial natriuretic peptide	pfam	family	IPR000663		
PF00213	ATP synthase delta (OSCP) subunit	pfam	family	IPR000711		
PF00214	Calcitonin / CGRP / IAPP family	pfam	family	IPR021116		
PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family	pfam	domain	IPR001754		
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain	pfam	domain	IPR022414		
PF00219	Insulin-like growth factor binding protein	pfam	domain	IPR000867		
PF00220	Neurohypophysial hormones, N-terminal Domain	pfam	family	IPR022423		
PF00221	Aromatic amino acid lyase	pfam	family	IPR001106		
PF00224	Pyruvate kinase, barrel domain	pfam	domain	IPR015793		
PF00225	Kinesin motor domain	pfam	domain	IPR001752		
PF00226	DnaJ domain	pfam	domain	IPR001623		
PF00227	Proteasome subunit	pfam	domain	IPR001353		
PF00229	"TNF(Tumour Necrosis Factor) family "	pfam	domain	IPR006052		
PF00230	Major intrinsic protein	pfam	family	IPR000425		
PF00231	ATP synthase	pfam	domain	IPR000131		
PF00232	Glycosyl hydrolase family 1	pfam	domain	IPR001360		
PF00233	3'5'-cyclic nucleotide phosphodiesterase	pfam	domain	IPR002073		
PF00235	Profilin	pfam	domain	IPR005455		
PF00236	Glycoprotein hormone	pfam	domain	IPR000476		
PF00237	Ribosomal protein L22p/L17e	pfam	domain	IPR001063		
PF00238	Ribosomal protein L14p/L23e	pfam	domain	IPR000218		
PF00240	Ubiquitin family	pfam	domain	IPR000626		
PF00241	Cofilin/tropomyosin-type actin-binding protein	pfam	domain	IPR002108		
PF00243	Nerve growth factor family	pfam	domain	IPR002072		
PF00244	14-3-3 protein	pfam	domain	IPR023410		
PF00245	Alkaline phosphatase	pfam	domain	IPR001952		
PF00246	Zinc carboxypeptidase	pfam	domain	IPR000834		
PF00248	Aldo/keto reductase family	pfam	domain	IPR023210		
PF00249	Myb-like DNA-binding domain	pfam	domain	IPR017930		
PF00250	Forkhead domain	pfam	domain	IPR001766		
PF00252	Ribosomal protein L16p/L10e	pfam	domain	IPR016180		
PF00253	Ribosomal protein S14p/S29e	pfam	family	IPR001209		
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	pfam	domain	IPR001179		
PF00255	Glutathione peroxidase	pfam	family	IPR000889		
PF00258	Flavodoxin	pfam	domain	IPR008254		
PF00260	Protamine P1	pfam	family	IPR000221		
PF00261	Tropomyosin	pfam	unknown	IPR000533		
PF00262	Calreticulin family	pfam	family	IPR001580		
PF00264	Common central domain of tyrosinase	pfam	domain	IPR002227		
PF00265	Thymidine kinase	pfam	family	IPR001267		
PF00266	Aminotransferase class-V	pfam	domain	IPR000192		
PF00268	Ribonucleotide reductase, small chain	pfam	domain	IPR000358		
PF00270	DEAD/DEAH box helicase	pfam	domain	IPR011545		
PF00271	Helicase conserved C-terminal domain	pfam	domain	IPR001650		
PF00273	Serum albumin family	pfam	domain	IPR014760		
PF00274	Fructose-bisphosphate aldolase class-I	pfam	domain	IPR000741		
PF00276	Ribosomal protein L23	pfam	family	IPR013025		
PF00277	Serum amyloid A protein	pfam	family	IPR000096		
PF00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	pfam	domain	IPR022643		
PF00281	Ribosomal protein L5	pfam	domain	IPR031310		
PF00282	Pyridoxal-dependent decarboxylase conserved domain	pfam	domain	IPR002129		
PF00285	Citrate synthase, C-terminal domain	pfam	domain	IPR002020		
PF00287	Sodium / potassium ATPase beta chain	pfam	family	IPR000402		
PF00288	GHMP kinases N terminal domain	pfam	family	IPR006204		
PF00289	Biotin carboxylase, N-terminal domain	pfam	domain	IPR005481		
PF00291	Pyridoxal-phosphate dependent enzyme	pfam	family	IPR001926		
PF00292	'Paired box' domain	pfam	domain	IPR001523		
PF00293	NUDIX domain	pfam	domain	IPR000086		
PF00294	pfkB family carbohydrate kinase	pfam	domain	IPR011611		
PF00297	Ribosomal protein L3	pfam	family	IPR000597		
PF00298	Ribosomal protein L11, RNA binding domain	pfam	domain	IPR020783		
PF00300	Histidine phosphatase superfamily (branch 1)	pfam	domain	IPR013078		
PF00303	Thymidylate synthase	pfam	domain	IPR023451		
PF00305	Lipoxygenase	pfam	domain	IPR013819		
PF00306	ATP synthase alpha/beta chain, C terminal domain	pfam	domain	IPR000793		
PF00307	Calponin homology (CH) domain	pfam	domain	IPR001715		
PF00312	Ribosomal protein S15	pfam	domain	IPR000589		
PF00313	'Cold-shock' DNA-binding domain	pfam	domain	IPR002059		
PF00316	Fructose-1-6-bisphosphatase, N-terminal domain	pfam	domain	IPR033391		
PF00317	Ribonucleotide reductase, all-alpha domain	pfam	domain	IPR013509		
PF00318	Ribosomal protein S2	pfam	family	IPR001865		
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	pfam	domain	IPR002100		
PF00320	GATA zinc finger	pfam	domain	IPR000679		
PF00322	Endothelin family	pfam	family	IPR001928		
PF00323	Mammalian defensin	pfam	domain	IPR006081		
PF00324	Amino acid permease	pfam	domain	IPR004841		
PF00326	Prolyl oligopeptidase family	pfam	domain	IPR001375		
PF00327	Ribosomal protein L30p/L7e	pfam	domain	IPR016082		
PF00328	Histidine phosphatase superfamily (branch 2)	pfam	family	IPR000560		
PF00329	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	pfam	family	IPR001268		
PF00330	Aconitase family (aconitate hydratase)	pfam	family	IPR001030		
PF00333	Ribosomal protein S5, N-terminal domain	pfam	domain	IPR013810		
PF00334	Nucleoside diphosphate kinase	pfam	domain	IPR034907		
PF00335	Tetraspanin family	pfam	family	IPR018499		
PF00337	Galactoside-binding lectin	pfam	domain	IPR001079		
PF00338	Ribosomal protein S10p/S20e	pfam	domain	IPR027486		
PF00339	Arrestin (or S-antigen), N-terminal domain	pfam	domain	IPR011021		
PF00340	Interleukin-1 / 18	pfam	domain	IPR000975		
PF00341	PDGF/VEGF domain	pfam	domain	IPR000072		
PF00342	Phosphoglucose isomerase	pfam	domain	IPR001672		
PF00343	Carbohydrate phosphorylase	pfam	family	IPR000811		
PF00344	SecY	pfam	family	IPR002208		
PF00346	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	pfam	family	IPR001135		
PF00347	Ribosomal protein L6	pfam	domain	IPR020040		
PF00348	Polyprenyl synthetase	pfam	domain	IPR000092		
PF00349	Hexokinase	pfam	domain	IPR022672		
PF00350	Dynamin family	pfam	domain	IPR045063		
PF00351	Biopterin-dependent aromatic amino acid hydroxylase	pfam	domain	IPR019774		
PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	pfam	domain	IPR000814		
PF00354	Pentaxin family	pfam	domain	IPR001759		
PF00355	Rieske [2Fe-2S] domain	pfam	domain	IPR017941		
PF00357	Integrin alpha cytoplasmic region	pfam	family	IPR018184		
PF00361	Proton-conducting membrane transporter	pfam	family	IPR001750		
PF00362	Integrin beta chain VWA domain	pfam	domain	IPR002369		
PF00363	Casein	pfam	family	IPR001588		
PF00364	Biotin-requiring enzyme	pfam	domain	IPR000089		
PF00365	Phosphofructokinase	pfam	domain	IPR000023		
PF00366	Ribosomal protein S17	pfam	domain	IPR000266		
PF00368	Hydroxymethylglutaryl-coenzyme A reductase	pfam	family	IPR002202		
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	pfam	domain	IPR018484		
PF00373	FERM central domain	pfam	domain	IPR019748		
PF00375	Sodium:dicarboxylate symporter family	pfam	family	IPR001991		
PF00377	Prion/Doppel alpha-helical domain	pfam	domain	IPR022416		
PF00378	Enoyl-CoA hydratase/isomerase	pfam	domain	IPR001753		
PF00380	Ribosomal protein S9/S16	pfam	family	IPR000754		
PF00382	Transcription factor TFIIB repeat	pfam	domain	IPR013150		
PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region	pfam	domain	IPR002125		
PF00384	Molybdopterin oxidoreductase	pfam	family	IPR006656		
PF00385	Chromo (CHRromatin Organisation MOdifier) domain	pfam	domain	IPR023780		
PF00386	C1q domain	pfam	domain	IPR001073		
PF00387	Phosphatidylinositol-specific phospholipase C, Y domain	pfam	family	IPR001711		
PF00388	Phosphatidylinositol-specific phospholipase C, X domain	pfam	family	IPR000909		
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	pfam	domain	IPR006139		
PF00390	Malic enzyme, N-terminal domain	pfam	domain	IPR012301		
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	pfam	domain	IPR006114		
PF00394	Multicopper oxidase	pfam	domain	IPR001117		
PF00396	Granulin	pfam	family	IPR000118		
PF00397	WW domain	pfam	domain	IPR001202		
PF00398	Ribosomal RNA adenine dimethylase	pfam	domain	IPR001737		
PF00400	WD domain, G-beta repeat	pfam	repeat	IPR001680		
PF00402	Calponin family repeat	pfam	repeat	IPR000557		
PF00403	Heavy-metal-associated domain	pfam	domain	IPR006121		
PF00405	Transferrin	pfam	domain	IPR001156		
PF00406	Adenylate kinase	pfam	domain			
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain	pfam	repeat	IPR005843		
PF00410	Ribosomal protein S8	pfam	domain	IPR000630		
PF00411	Ribosomal protein S11	pfam	family	IPR001971		
PF00412	LIM domain	pfam	domain	IPR001781		
PF00413	Matrixin	pfam	domain	IPR001818		
PF00414	Neuraxin and MAP1B repeat	pfam	repeat	IPR000102		
PF00415	Regulator of chromosome condensation (RCC1) repeat	pfam	repeat	IPR000408		
PF00416	Ribosomal protein S13/S18	pfam	family	IPR001892		
PF00418	Tau and MAP protein, tubulin-binding repeat	pfam	family	IPR001084		
PF00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	pfam	family	IPR039428		
PF00428	60s Acidic ribosomal protein	pfam	family			
PF00429	ENV polyprotein (coat polyprotein)	pfam	family	IPR018154		
PF00431	CUB domain	pfam	domain	IPR000859		
PF00432	Prenyltransferase and squalene oxidase repeat	pfam	repeat	IPR001330		
PF00433	Protein kinase C terminal domain	pfam	family	IPR017892		
PF00435	Spectrin repeat	pfam	domain	IPR002017		
PF00436	Single-strand binding protein family	pfam	domain	IPR000424		
PF00438	S-adenosylmethionine synthetase, N-terminal domain	pfam	domain	IPR022628		
PF00439	Bromodomain	pfam	domain	IPR001487		
PF00441	Acyl-CoA dehydrogenase, C-terminal domain	pfam	domain	IPR009075		
PF00443	Ubiquitin carboxyl-terminal hydrolase	pfam	family	IPR001394		
PF00444	Ribosomal protein L36	pfam	domain	IPR000473		
PF00445	Ribonuclease T2 family	pfam	domain	IPR001568		
PF00446	Gonadotropin-releasing hormone	pfam	family	IPR002012		
PF00447	HSF-type DNA-binding	pfam	domain	IPR000232		
PF00448	SRP54-type protein, GTPase domain	pfam	domain	IPR000897		
PF00450	Serine carboxypeptidase	pfam	domain	IPR001563		
PF00452	Apoptosis regulator proteins, Bcl-2 family	pfam	family	IPR046371		
PF00453	Ribosomal protein L20	pfam	family	IPR005813		
PF00454	Phosphatidylinositol 3- and 4-kinase	pfam	family	IPR000403		
PF00456	Transketolase, thiamine diphosphate binding domain	pfam	domain	IPR005474		
PF00458	WHEP-TRS domain	pfam	domain	IPR000738		
PF00459	Inositol monophosphatase family	pfam	family	IPR000760		
PF00462	Glutaredoxin	pfam	domain	IPR002109		
PF00464	Serine hydroxymethyltransferase	pfam	domain	IPR039429		
PF00465	"Iron-containing alcohol dehydrogenase "	pfam	family	IPR001670		
PF00466	Ribosomal protein L10	pfam	family	IPR001790		
PF00467	KOW motif	pfam	family	IPR005824		
PF00468	Ribosomal protein L34	pfam	family	IPR000271		
PF00471	Ribosomal protein L33	pfam	family	IPR001705		
PF00472	RF-1 domain	pfam	family	IPR000352		
PF00473	Corticotropin-releasing factor family	pfam	family	IPR000187		
PF00474	Sodium:solute symporter family	pfam	family	IPR001734		
PF00476	DNA polymerase family A	pfam	family	IPR001098		
PF00478	IMP dehydrogenase / GMP reductase domain	pfam	domain	IPR001093		
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	pfam	domain	IPR022674		
PF00480	ROK family	pfam	family	IPR000600		
PF00481	Protein phosphatase 2C	pfam	family	IPR001932		
PF00483	Nucleotidyl transferase	pfam	family	IPR005835		
PF00485	Phosphoribulokinase / Uridine kinase family	pfam	domain	IPR006083		
PF00487	Fatty acid desaturase	pfam	domain	IPR005804		
PF00488	MutS domain V	pfam	domain	IPR000432		
PF00489	Interleukin-6/G-CSF/MGF family	pfam	domain	IPR003574		
PF00490	Delta-aminolevulinic acid dehydratase	pfam	domain	IPR001731		
PF00491	Arginase family	pfam	domain	IPR006035		
PF00493	MCM P-loop domain	pfam	domain	IPR001208		
PF00494	Squalene/phytoene synthase	pfam	domain	IPR002060		
PF00497	Bacterial extracellular solute-binding proteins, family 3	pfam	domain	IPR001638		
PF00498	FHA domain	pfam	family	IPR000253		
PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	pfam	family	IPR001457		
PF00500	L1 (late) protein	pfam	domain	IPR002210		
PF00501	AMP-binding enzyme	pfam	family	IPR000873		
PF00503	G-protein alpha subunit	pfam	domain	IPR001019		
PF00505	HMG (high mobility group) box	pfam	domain	IPR009071		
PF00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	pfam	family	IPR000440		
PF00510	Cytochrome c oxidase subunit III	pfam	family	IPR000298		
PF00512	His Kinase A (phospho-acceptor) domain	pfam	domain	IPR003661		
PF00513	Late Protein L2	pfam	family	IPR000784		
PF00514	Armadillo/beta-catenin-like repeat	pfam	repeat	IPR000225		
PF00515	Tetratricopeptide repeat	pfam	repeat	IPR001440		
PF00516	Envelope glycoprotein GP120	pfam	family	IPR000777		
PF00517	Retroviral envelope protein	pfam	family	IPR000328		
PF00518	Early Protein (E6)	pfam	family	IPR001334		
PF00520	Ion transport protein	pfam	family	IPR005821		
PF00521	DNA gyrase/topoisomerase IV, subunit A	pfam	family	IPR002205		
PF00523	Fusion glycoprotein F0	pfam	family	IPR000776		
PF00525	Alpha crystallin A chain, N terminal	pfam	family	IPR003090		
PF00527	E7 protein, Early protein	pfam	family	IPR000148		
PF00530	Scavenger receptor cysteine-rich domain	pfam	domain	IPR001190		
PF00531	Death domain	pfam	domain	IPR000488		
PF00533	BRCA1 C Terminus (BRCT) domain	pfam	family	IPR001357		
PF00534	Glycosyl transferases group 1	pfam	family	IPR001296		
PF00535	Glycosyl transferase family 2	pfam	family	IPR001173		
PF00536	SAM domain (Sterile alpha motif)	pfam	domain	IPR001660		
PF00538	linker histone H1 and H5 family	pfam	domain	IPR005818		
PF00542	Ribosomal protein L7/L12 C-terminal domain	pfam	domain	IPR013823		
PF00549	CoA-ligase	pfam	domain	IPR005811		
PF00550	Phosphopantetheine attachment site	pfam	domain	IPR009081		
PF00551	Formyl transferase	pfam	domain	IPR002376		
PF00552	Integrase DNA binding domain	pfam	domain	IPR001037		
PF00554	Rel homology DNA-binding domain	pfam	domain	IPR011539		
PF00557	Metallopeptidase family M24	pfam	domain	IPR000994		
PF00560	Leucine Rich Repeat	pfam	repeat	IPR001611		
PF00561	alpha/beta hydrolase fold	pfam	domain	IPR000073		
PF00562	RNA polymerase Rpb2, domain 6	pfam	domain	IPR007120		
PF00564	PB1 domain	pfam	domain	IPR000270		
PF00565	Staphylococcal nuclease homologue	pfam	domain	IPR016071		
PF00566	Rab-GTPase-TBC domain	pfam	family	IPR000195		
PF00567	Tudor domain	pfam	domain	IPR002999		
PF00568	WH1 domain	pfam	domain	IPR000697		
PF00569	Zinc finger, ZZ type	pfam	domain	IPR000433		
PF00570	HRDC domain	pfam	domain	IPR002121		
PF00571	CBS domain	pfam	domain	IPR000644		
PF00572	Ribosomal protein L13	pfam	family	IPR005822		
PF00573	Ribosomal protein L4/L1 family	pfam	family	IPR002136		
