id,pathwayName,M
R-BTA-1358803,"Downregulation of ERBB2:ERBB3 signaling",2
R-BTA-1362409,"Mitochondrial iron-sulfur cluster biogenesis",6
R-BTA-139853,"Elevation of cytosolic Ca2+ levels",1
R-BTA-139910,"Activation of BMF and translocation to mitochondria",1
R-BTA-140342,"Apoptosis induced DNA fragmentation",2
R-BTA-140834,"Extrinsic Pathway of Fibrin Clot Formation",2
R-BTA-140837,"Intrinsic Pathway of Fibrin Clot Formation",2
R-BTA-141333,"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",1
R-BTA-141430,"Inactivation of APC/C via direct inhibition of the APC/C complex",1
R-BTA-1433557,"Signaling by SCF-KIT",3
R-BTA-1433559,"Regulation of KIT signaling",1
R-BTA-1442490,"Collagen degradation",1
R-BTA-1461957,"Beta defensins",3
R-BTA-1461973,Defensins,3
R-BTA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",1
R-BTA-1474228,"Degradation of the extracellular matrix",3
R-BTA-1475029,"Reversible hydration of carbon dioxide",2
R-BTA-1482788,"Acyl chain remodelling of PC",2
R-BTA-1482801,"Acyl chain remodelling of PS",2
R-BTA-1482839,"Acyl chain remodelling of PE",1
R-BTA-1482922,"Acyl chain remodelling of PI",2
R-BTA-1482925,"Acyl chain remodelling of PG",1
R-BTA-1483101,"Synthesis of PS",1
R-BTA-1483115,"Hydrolysis of LPC",1
R-BTA-1483148,"Synthesis of PG",1
R-BTA-1483166,"Synthesis of PA",4
R-BTA-1483191,"Synthesis of PC",1
R-BTA-1483206,"Glycerophospholipid biosynthesis",1
R-BTA-1483213,"Synthesis of PE",2
R-BTA-1483255,"PI Metabolism",2
R-BTA-1502540,"Signaling by Activin",1
R-BTA-1538133,"G0 and Early G1",2
R-BTA-156581,Methylation,2
R-BTA-156582,Acetylation,1
R-BTA-156584,"Cytosolic sulfonation of small molecules",3
R-BTA-156588,Glucuronidation,1
R-BTA-156590,"Glutathione conjugation",3
R-BTA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",31
R-BTA-156902,"Peptide chain elongation",1
R-BTA-1592389,"Activation of Matrix Metalloproteinases",2
R-BTA-159418,"Recycling of bile acids and salts",1
R-BTA-159763,"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus",1
R-BTA-1606341,"IRF3 mediated activation of type 1 IFN",1
R-BTA-1614517,"Sulfide oxidation to sulfate",1
R-BTA-1614558,"Degradation of cysteine and homocysteine",1
R-BTA-162710,"Synthesis of glycosylphosphatidylinositol (GPI)",1
R-BTA-163210,"Formation of ATP by chemiosmotic coupling",10
R-BTA-1632852,Macroautophagy,13
R-BTA-163359,"Glucagon signaling in metabolic regulation",1
R-BTA-163560,"Triglyceride catabolism",3
R-BTA-163680,"AMPK inhibits chREBP transcriptional activation activity",1
R-BTA-163765,"ChREBP activates metabolic gene expression",1
R-BTA-1650814,"Collagen biosynthesis and modifying enzymes",3
R-BTA-165158,"Activation of AKT2",1
R-BTA-165159,"MTOR signalling",6
R-BTA-166016,"Toll Like Receptor 4 (TLR4) Cascade",1
R-BTA-1660499,"Synthesis of PIPs at the plasma membrane",3
R-BTA-166058,"MyD88:MAL(TIRAP) cascade initiated on plasma membrane",2
R-BTA-1660661,"Sphingolipid de novo biosynthesis",11
R-BTA-1660662,"Glycosphingolipid metabolism",5
R-BTA-166208,"mTORC1-mediated signalling",8
R-BTA-1663150,"The activation of arylsulfatases",2
R-BTA-167044,"Signalling to RAS",1
R-BTA-167826,"The fatty acid cycling model",1
R-BTA-167827,"The proton buffering model",1
R-BTA-1679131,"Trafficking and processing of endosomal TLR",1
R-BTA-170670,"Adenylate cyclase inhibitory pathway",1
R-BTA-170968,"Frs2-mediated activation",1
R-BTA-170984,"ARMS-mediated activation",1
R-BTA-171319,"Telomere Extension By Telomerase",2
R-BTA-173599,"Formation of the active cofactor, UDP-glucuronate",2
R-BTA-174403,"Glutathione synthesis and recycling",4
R-BTA-176187,"Activation of ATR in response to replication stress",1
R-BTA-176974,"Unwinding of DNA",3
R-BTA-177128,"Conjugation of salicylate with glycine",1
R-BTA-177135,"Conjugation of benzoate with glycine",1
R-BTA-177929,"Signaling by EGFR",1
R-BTA-1799339,"SRP-dependent cotranslational protein targeting to membrane",52
R-BTA-180336,"SHC1 events in EGFR signaling",1
R-BTA-181430,"Norepinephrine Neurotransmitter Release Cycle",2
R-BTA-182971,"EGFR downregulation",4
R-BTA-1834941,"STING mediated induction of host immune responses",1
R-BTA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",2
R-BTA-1855204,"Synthesis of IP3 and IP4 in the cytosol",1
R-BTA-187577,"SCF(Skp2)-mediated degradation of p27/p21",5
R-BTA-189200,"Cellular hexose transport",1
R-BTA-189451,"Heme biosynthesis",3
R-BTA-189483,"Heme degradation",1
R-BTA-190322,"FGFR4 ligand binding and activation",1
R-BTA-190370,"FGFR1b ligand binding and activation",1
R-BTA-190371,"FGFR3b ligand binding and activation",1
R-BTA-190372,"FGFR3c ligand binding and activation",1
R-BTA-190373,"FGFR1c ligand binding and activation",1
R-BTA-190375,"FGFR2c ligand binding and activation",1
R-BTA-190377,"FGFR2b ligand binding and activation",2
R-BTA-190704,"Oligomerization of connexins into connexons",1
R-BTA-190840,"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",1
R-BTA-190861,"Gap junction assembly",1
R-BTA-190872,"Transport of connexons to the plasma membrane",1
R-BTA-1912420,"Pre-NOTCH Processing in Golgi",1
R-BTA-191273,"Cholesterol biosynthesis",6
R-BTA-191650,"Regulation of gap junction activity",1
R-BTA-191859,"snRNP Assembly",8
R-BTA-192456,"Digestion of dietary lipid",1
R-BTA-193048,"Androgen biosynthesis",3
R-BTA-193368,"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",2
R-BTA-193634,"Axonal growth inhibition (RHOA activation)",1
R-BTA-193775,"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",2
R-BTA-193807,"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",2
R-BTA-193993,"Mineralocorticoid biosynthesis",3
R-BTA-194002,"Glucocorticoid biosynthesis",3
R-BTA-194840,"Rho GTPase cycle",11
R-BTA-195253,"Degradation of beta-catenin by the destruction complex",6
R-BTA-196108,"Pregnenolone biosynthesis",1
R-BTA-196299,"Beta-catenin phosphorylation cascade",3
R-BTA-1963642,"PI3K events in ERBB2 signaling",1
R-BTA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",3
R-BTA-196757,"Metabolism of folate and pterines",2
R-BTA-196780,"Biotin transport and metabolism",1
R-BTA-196807,"Nicotinate metabolism",1
R-BTA-196843,"Vitamin B2 (riboflavin) metabolism",1
R-BTA-1971475,"A tetrasaccharide linker sequence is required for GAG synthesis",2
R-BTA-197264,"Nicotinamide salvaging",2
R-BTA-198203,"PI3K/AKT activation",3
R-BTA-198753,"ERK/MAPK targets",3
R-BTA-198765,"Signalling to ERK5",1
R-BTA-198933,"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",4
R-BTA-199220,"Vitamin B5 (pantothenate) metabolism",1
R-BTA-199992,"trans-Golgi Network Vesicle Budding",2
R-BTA-200425,"Carnitine metabolism",1
R-BTA-201722,"Formation of the beta-catenin:TCF transactivating complex",7
R-BTA-202040,"G-protein activation",2
R-BTA-2022090,"Assembly of collagen fibrils and other multimeric structures",1
R-BTA-2022854,"Keratan sulfate biosynthesis",4
R-BTA-2022857,"Keratan sulfate degradation",3
R-BTA-2022870,"Chondroitin sulfate biosynthesis",2
R-BTA-2022923,"Dermatan sulfate biosynthesis",2
R-BTA-2024101,"CS/DS degradation",3
R-BTA-202424,"Downstream TCR signaling",4
R-BTA-2025928,"Calcineurin activates NFAT",1
R-BTA-202670,"ERKs are inactivated",5
R-BTA-202733,"Cell surface interactions at the vascular wall",1
R-BTA-2029482,"Regulation of actin dynamics for phagocytic cup formation",5
R-BTA-2029485,"Role of phospholipids in phagocytosis",1
R-BTA-203615,"eNOS activation",2
R-BTA-204005,"COPII-mediated vesicle transport",14
R-BTA-2046105,"Linoleic acid (LA) metabolism",2
R-BTA-2046106,"alpha-linolenic acid (ALA) metabolism",2
R-BTA-204626,"Hypusine synthesis from eIF5A-lysine",3
R-BTA-205043,"NRIF signals cell death from the nucleus",3
R-BTA-209560,"NF-kB is activated and signals survival",2
R-BTA-209822,"Glycoprotein hormones",6
R-BTA-209968,"Thyroxine biosynthesis",2
R-BTA-210455,"Astrocytic Glutamate-Glutamine Uptake And Metabolism",2
R-BTA-210500,"Glutamate Neurotransmitter Release Cycle",3
R-BTA-210990,"PECAM1 interactions",1
R-BTA-211916,Vitamins,1
R-BTA-211945,"Phase I - Functionalization of compounds",1
R-BTA-211976,"Endogenous sterols",2
R-BTA-212300,"PRC2 methylates histones and DNA",9
R-BTA-212436,"Generic Transcription Pathway",6
R-BTA-212676,"Dopamine Neurotransmitter Release Cycle",1
R-BTA-2129379,"Molecules associated with elastic fibres",3
R-BTA-2132295,"MHC class II antigen presentation",6
R-BTA-2142691,"Synthesis of Leukotrienes (LT) and Eoxins (EX)",1
R-BTA-2142712,"Synthesis of 12-eicosatetraenoic acid derivatives",1
R-BTA-2142770,"Synthesis of 15-eicosatetraenoic acid derivatives",1
R-BTA-2151201,"Transcriptional activation of mitochondrial biogenesis",3
R-BTA-2160916,"Hyaluronan uptake and degradation",3
R-BTA-2161517,"Abacavir transmembrane transport",1
R-BTA-2162123,"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",2
R-BTA-2168880,"Scavenging of heme from plasma",3
R-BTA-2173795,"Downregulation of SMAD2/3:SMAD4 transcriptional activity",2
R-BTA-2173796,"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",2
R-BTA-2187335,"The retinoid cycle in cones (daylight vision)",3
R-BTA-2299718,"Condensation of Prophase Chromosomes",7
R-BTA-2393930,"Phosphate bond hydrolysis by NUDT proteins",1
R-BTA-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",1
R-BTA-2424491,"DAP12 signaling",5
R-BTA-2428933,"SHC-related events triggered by IGF1R",1
R-BTA-2453902,"The canonical retinoid cycle in rods (twilight vision)",6
R-BTA-2485179,"Activation of the phototransduction cascade",1
R-BTA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",4
R-BTA-2559580,"Oxidative Stress Induced Senescence",13
R-BTA-2559582,"Senescence-Associated Secretory Phenotype (SASP)",2
R-BTA-2559584,"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",1
R-BTA-2559585,"Oncogene Induced Senescence",1
R-BTA-2559586,"DNA Damage/Telomere Stress Induced Senescence",1
R-BTA-2565942,"Regulation of PLK1 Activity at G2/M Transition",3
R-BTA-264870,"Caspase-mediated cleavage of cytoskeletal proteins",1
R-BTA-2682334,"EPH-Ephrin signaling",1
R-BTA-2730905,"Role of LAT2/NTAL/LAB on calcium mobilization",3
R-BTA-2871796,"FCERI mediated MAPK activation",2
R-BTA-2871809,"FCERI mediated Ca+2 mobilization",1
R-BTA-2871837,"FCERI mediated NF-kB activation",1
R-BTA-3000171,"Non-integrin membrane-ECM interactions",1
R-BTA-3000178,"ECM proteoglycans",3
R-BTA-3065679,"SUMO is proteolytically processed",2
R-BTA-3108214,"SUMOylation of DNA damage response and repair proteins",4
R-BTA-3134963,"DEx/H-box helicases activate type I IFN and inflammatory cytokines production",1
R-BTA-3134975,"Regulation of innate immune responses to cytosolic DNA",4
R-BTA-3214815,"HDACs deacetylate histones",7
R-BTA-3214841,"PKMTs methylate histone lysines",6
R-BTA-3214842,"HDMs demethylate histones",3
R-BTA-3214847,"HATs acetylate histones",5
R-BTA-3214858,"RMTs methylate histone arginines",5
R-BTA-3232118,"SUMOylation of transcription factors",3
R-BTA-3232142,"SUMOylation of ubiquitinylation proteins",1
R-BTA-3238698,"WNT ligand biogenesis and trafficking",4
R-BTA-3247509,"Chromatin modifying enzymes",2
R-BTA-3249367,"STAT6-mediated induction of chemokines",1
R-BTA-3270619,"IRF3-mediated induction of type I IFN",2
R-BTA-3295583,"TRP channels",1
R-BTA-3299685,"Detoxification of Reactive Oxygen Species",7
R-BTA-3322077,"Glycogen synthesis",2
R-BTA-3371378,"Regulation by c-FLIP",2
R-BTA-3371453,"Regulation of HSF1-mediated heat shock response",11
R-BTA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR)",5
R-BTA-350054,"Notch-HLH transcription pathway",3
R-BTA-350562,"Regulation of ornithine decarboxylase (ODC)",1
R-BTA-351200,"Interconversion of polyamines",1
R-BTA-351202,"Metabolism of polyamines",1
R-BTA-352230,"Amino acid transport across the plasma membrane",4
R-BTA-354192,"Integrin signaling",3
R-BTA-373076,"Class A/1 (Rhodopsin-like receptors)",7
R-BTA-373080,"Class B/2 (Secretin family receptors)",2
R-BTA-375165,"NCAM signaling for neurite out-growth",1
R-BTA-375276,"Peptide ligand-binding receptors",20
R-BTA-375281,"Hormone ligand-binding receptors",4
R-BTA-376176,"Signaling by ROBO receptors",3
R-BTA-3769402,"Deactivation of the beta-catenin transactivating complex",2
R-BTA-379397,"Enzymatic degradation of dopamine by COMT",1
R-BTA-379398,"Enzymatic degradation of Dopamine by monoamine oxidase",1
R-BTA-379716,"Cytosolic tRNA aminoacylation",1
R-BTA-380095,"Tachykinin receptors bind tachykinins",1
R-BTA-380108,"Chemokine receptors bind chemokines",12
R-BTA-380612,"Metabolism of serotonin",2
R-BTA-380972,"Energy dependent regulation of mTOR by LKB1-AMPK",8
R-BTA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",18
R-BTA-381676,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",1
R-BTA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",1
R-BTA-382556,"ABC-family proteins mediated transport",2
R-BTA-383280,"Nuclear Receptor transcription pathway",6
R-BTA-388479,"Vasopressin-like receptors",3
R-BTA-388841,"Costimulation by the CD28 family",1
R-BTA-389356,"CD28 co-stimulation",1
R-BTA-389357,"CD28 dependent PI3K/Akt signaling",3
R-BTA-389359,"CD28 dependent Vav1 pathway",1
R-BTA-389513,"CTLA4 inhibitory signaling",3
R-BTA-389599,"Alpha-oxidation of phytanate",1
R-BTA-389661,"Glyoxylate metabolism and glycine degradation",4
R-BTA-3899300,"SUMOylation of transcription cofactors",4
R-BTA-390522,"Striated Muscle Contraction",8
R-BTA-390648,"Muscarinic acetylcholine receptors",1
R-BTA-390651,"Dopamine receptors",1
R-BTA-390696,Adrenoceptors,1
R-BTA-390918,"Peroxisomal lipid metabolism",1
R-BTA-391160,"Signal regulatory protein family interactions",1
R-BTA-391906,"Leukotriene receptors",1
R-BTA-391908,"Prostanoid ligand receptors",1
R-BTA-392170,"ADP signalling through P2Y purinoceptor 12",9
R-BTA-392451,"G beta:gamma signalling through PI3Kgamma",9
R-BTA-392517,"Rap1 signalling",4
R-BTA-3928662,"EPHB-mediated forward signaling",1
R-BTA-3928663,"EPHA-mediated growth cone collapse",3
R-BTA-3928664,"Ephrin signaling",3
R-BTA-3928665,"EPH-ephrin mediated repulsion of cells",3
R-BTA-399954,"Sema3A PAK dependent Axon repulsion",2
R-BTA-399956,"CRMPs in Sema3A signaling",3
R-BTA-400206,"Regulation of lipid metabolism by PPARalpha",1
R-BTA-4085001,"Sialic acid metabolism",1
R-BTA-4085377,"SUMOylation of SUMOylation proteins",1
R-BTA-4086400,"PCP/CE pathway",2
R-BTA-4090294,"SUMOylation of intracellular receptors",3
R-BTA-416476,"G alpha (q) signalling events",30
R-BTA-416482,"G alpha (12/13) signalling events",5
R-BTA-417957,"P2Y receptors",2
R-BTA-417973,"Adenosine P1 receptors",3
R-BTA-418346,"Platelet homeostasis",2
R-BTA-418457,"cGMP effects",1
R-BTA-418555,"G alpha (s) signalling events",2
R-BTA-418592,"ADP signalling through P2Y purinoceptor 1",1
R-BTA-418594,"G alpha (i) signalling events",39
R-BTA-418597,"G alpha (z) signalling events",10
R-BTA-418990,"Adherens junctions interactions",1
R-BTA-419408,"Lysosphingolipid and LPA receptors",1
R-BTA-419771,Opsins,4
R-BTA-420092,"Glucagon-type ligand receptors",2
R-BTA-422085,"Synthesis, secretion, and deacylation of Ghrelin",4
R-BTA-425393,"Transport of inorganic cations/anions and amino acids/oligopeptides",1
R-BTA-425397,"Transport of vitamins, nucleosides, and related molecules",1
R-BTA-426048,"Arachidonate production from DAG",1
R-BTA-427359,"SIRT1 negatively regulates rRNA expression",7
R-BTA-427413,"NoRC negatively regulates rRNA expression",7
R-BTA-427601,"Multifunctional anion exchangers",1
R-BTA-428643,"Organic anion transporters",3
R-BTA-428930,"Thromboxane signalling through TP receptor",10
R-BTA-432040,"Vasopressin regulates renal water homeostasis via Aquaporins",4
R-BTA-432047,"Passive transport by Aquaporins",4
R-BTA-432142,"Platelet sensitization by LDL",2
R-BTA-434313,"Intracellular metabolism of fatty acids regulates insulin secretion",1
R-BTA-4419969,"Depolymerisation of the Nuclear Lamina",2
R-BTA-4420097,"VEGFA-VEGFR2 Pathway",3
R-BTA-442380,"Zinc influx into cells by the SLC39 gene family",1
R-BTA-442660,"Na+/Cl- dependent neurotransmitter transporters",3
R-BTA-444411,"Rhesus glycoproteins mediate ammonium transport",1
R-BTA-444821,"Relaxin receptors",1
R-BTA-446199,"Synthesis of Dolichyl-phosphate",2
R-BTA-446205,"Synthesis of GDP-mannose",1
R-BTA-446210,"Synthesis of UDP-N-acetyl-glucosamine",1
R-BTA-449836,"Other interleukin signaling",1
R-BTA-450302,"activated TAK1 mediates p38 MAPK activation",3
R-BTA-450341,"Activation of the AP-1 family of transcription factors",1
R-BTA-450520,"HuR (ELAVL1) binds and stabilizes mRNA",1
R-BTA-450604,"KSRP (KHSRP) binds and destabilizes mRNA",1
R-BTA-451308,"Activation of Ca-permeable Kainate Receptor",1
R-BTA-4551638,"SUMOylation of chromatin organization proteins",4
R-BTA-456926,"Thrombin signalling through proteinase activated receptors (PARs)",8
R-BTA-4570464,"SUMOylation of RNA binding proteins",2
R-BTA-4608870,"Asymmetric localization of PCP proteins",2
R-BTA-4615885,"SUMOylation of DNA replication proteins",3
R-BTA-4641265,"Repression of WNT target genes",1
R-BTA-4655427,"SUMOylation of DNA methylation proteins",1
R-BTA-4755510,"SUMOylation of immune response proteins",2
R-BTA-480985,"Synthesis of dolichyl-phosphate-glucose",1
R-BTA-499943,"Interconversion of nucleotide di- and triphosphates",2
R-BTA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",3
R-BTA-5173214,"O-glycosylation of TSR domain-containing proteins",1
R-BTA-5205685,"PINK1-PRKN Mediated Mitophagy",7
R-BTA-5213460,"RIPK1-mediated regulated necrosis",1
R-BTA-5218900,"CASP8 activity is inhibited",2
R-BTA-5223345,"Miscellaneous transport and binding events",2
R-BTA-5250924,"B-WICH complex positively regulates rRNA expression",13
R-BTA-5357786,"TNFR1-induced proapoptotic signaling",2
R-BTA-5357905,"Regulation of TNFR1 signaling",4
R-BTA-5357956,"TNFR1-induced NFkappaB signaling pathway",4
R-BTA-5358493,"Synthesis of diphthamide-EEF2",3
R-BTA-5358565,"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",2
R-BTA-5358606,"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",1
R-BTA-5362517,"Signaling by Retinoic Acid",1
R-BTA-5365859,"RA biosynthesis pathway",7
R-BTA-5423646,"Aflatoxin activation and detoxification",2
R-BTA-549127,"Organic cation transport",1
R-BTA-5576886,"Phase 4 - resting membrane potential",2
R-BTA-5576894,"Phase 1 - inactivation of fast Na+ channels",1
R-BTA-5578768,"Physiological factors",1
R-BTA-5578775,"Ion homeostasis",2
R-BTA-5607761,"Dectin-1 mediated noncanonical NF-kB signaling",1
R-BTA-5607764,"CLEC7A (Dectin-1) signaling",1
R-BTA-5610780,"Degradation of GLI1 by the proteasome",3
R-BTA-5610787,""{""Hedgehog 'off' state""}"",1
R-BTA-5620916,"VxPx cargo-targeting to cilium",1
R-BTA-5620922,"BBSome-mediated cargo-targeting to cilium",2
R-BTA-5620924,"Intraflagellar transport",1
R-BTA-5621480,"Dectin-2 family",3
R-BTA-5625900,"RHO GTPases activate CIT",3
R-BTA-5625970,"RHO GTPases activate KTN1",1
R-BTA-5627123,"RHO GTPases activate PAKs",1
R-BTA-5628897,"TP53 Regulates Metabolic Genes",24
R-BTA-5632684,""{""Hedgehog 'on' state""}"",3
R-BTA-5653890,"Lactose synthesis",1
R-BTA-5654219,"Phospholipase C-mediated cascade: FGFR1",1
R-BTA-5654221,"Phospholipase C-mediated cascade, FGFR2",1
R-BTA-5654227,"Phospholipase C-mediated cascade, FGFR3",1
R-BTA-5654228,"Phospholipase C-mediated cascade, FGFR4",1
R-BTA-5654687,"Downstream signaling of activated FGFR1",1
R-BTA-5654688,"SHC-mediated cascade:FGFR1",2
R-BTA-5654689,"PI-3K cascade:FGFR1",2
R-BTA-5654693,"FRS-mediated FGFR1 signaling",1
R-BTA-5654695,"PI-3K cascade:FGFR2",2
R-BTA-5654699,"SHC-mediated cascade:FGFR2",2
R-BTA-5654700,"FRS-mediated FGFR2 signaling",1
R-BTA-5654704,"SHC-mediated cascade:FGFR3",2
R-BTA-5654706,"FRS-mediated FGFR3 signaling",1
R-BTA-5654710,"PI-3K cascade:FGFR3",2
R-BTA-5654712,"FRS-mediated FGFR4 signaling",1
R-BTA-5654719,"SHC-mediated cascade:FGFR4",2
R-BTA-5654720,"PI-3K cascade:FGFR4",2
R-BTA-5654726,"Negative regulation of FGFR1 signaling",3
R-BTA-5654727,"Negative regulation of FGFR2 signaling",3
R-BTA-5654732,"Negative regulation of FGFR3 signaling",3
R-BTA-5654733,"Negative regulation of FGFR4 signaling",3
R-BTA-5656169,"Termination of translesion DNA synthesis",6
R-BTA-5661231,"Metallothioneins bind metals",2
R-BTA-5661270,"Formation of xylulose-5-phosphate",2
R-BTA-5663213,"RHO GTPases Activate WASPs and WAVEs",4
R-BTA-5663220,"RHO GTPases Activate Formins",6
R-BTA-5666185,"RHO GTPases Activate Rhotekin and Rhophilins",1
R-BTA-5668541,"TNFR2 non-canonical NF-kB pathway",3
R-BTA-5668599,"RHO GTPases Activate NADPH Oxidases",4
R-BTA-5669034,"TNFs bind their physiological receptors",1
R-BTA-5673000,"RAF activation",3
R-BTA-5673001,"RAF/MAP kinase cascade",6
R-BTA-5674135,"MAP2K and MAPK activation",2
R-BTA-5675221,"Negative regulation of MAPK pathway",5
R-BTA-5675482,"Regulation of necroptotic cell death",4
R-BTA-5676590,"NIK-->noncanonical NF-kB signaling",1
R-BTA-5676594,"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",1
R-BTA-5683826,"Surfactant metabolism",4
R-BTA-5685939,"HDR through MMEJ (alt-NHEJ)",1
R-BTA-5686938,"Regulation of TLR by endogenous ligand",1
R-BTA-5687128,"MAPK6/MAPK4 signaling",2
R-BTA-5689877,"Josephin domain DUBs",4
R-BTA-5689880,"Ub-specific processing proteases",14
R-BTA-5689896,"Ovarian tumor domain proteases",6
R-BTA-5689901,"Metalloprotease DUBs",3
R-BTA-5693565,"Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks",5
R-BTA-5693568,"Resolution of D-loop Structures through Holliday Junction Intermediates",1
R-BTA-5693571,"Nonhomologous End-Joining (NHEJ)",1
R-BTA-5694530,"Cargo concentration in the ER",4
R-BTA-5696394,"DNA Damage Recognition in GG-NER",6
R-BTA-5696395,"Formation of Incision Complex in GG-NER",3
R-BTA-606279,"Deposition of new CENPA-containing nucleosomes at the centromere",10
R-BTA-611105,"Respiratory electron transport",38
R-BTA-629594,"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors",1
R-BTA-674695,"RNA Polymerase II Pre-transcription Events",11
R-BTA-6783310,"Fanconi Anemia Pathway",7
R-BTA-6783984,"Glycine degradation",2
R-BTA-6785631,"ERBB2 Regulates Cell Motility",1
R-BTA-6785807,"Interleukin-4 and Interleukin-13 signaling",1
R-BTA-6796648,"TP53 Regulates Transcription of DNA Repair Genes",1
R-BTA-6798695,"Neutrophil degranulation",84
R-BTA-6799198,"Complex I biogenesis",31
R-BTA-6799990,"Metal sequestration by antimicrobial proteins",2
R-BTA-6803157,"Antimicrobial peptides",9
R-BTA-6803204,"TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",2
R-BTA-6804114,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",4
R-BTA-6804115,"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain",2
R-BTA-6804754,"Regulation of TP53 Expression",1
R-BTA-6804756,"Regulation of TP53 Activity through Phosphorylation",9
R-BTA-6804757,"Regulation of TP53 Degradation",3
R-BTA-6804758,"Regulation of TP53 Activity through Acetylation",1
R-BTA-6804759,"Regulation of TP53 Activity through Association with Co-factors",1
R-BTA-6804760,"Regulation of TP53 Activity through Methylation",1
R-BTA-6805567,Keratinization,11
R-BTA-6806664,"Metabolism of vitamin K",1
R-BTA-6807505,"RNA polymerase II transcribes snRNA genes",12
R-BTA-6807878,"COPI-mediated anterograde transport",2
R-BTA-6811434,"COPI-dependent Golgi-to-ER retrograde traffic",1
R-BTA-6811438,"Intra-Golgi traffic",1
