obo_id,label,M
EFO:0000762,"hepatocellular adenoma",7
EFO:0000766,"obsolete_hereditary leiomyomatosis and renal cell cancer",0
EFO:0000768,"idiopathic pulmonary fibrosis",6
EFO:0000773,"temporal lobe epilepsy",2
EFO:0000783,myositis,0
EFO:0001059,cataract,5
EFO:0001060,"celiac disease",3
EFO:0001061,"cervical carcinoma",1
EFO:0001063,deafness,1
EFO:0001064,"Down syndrome",0
EFO:0001071,"lung carcinoma",8
EFO:0001073,obesity,10
EFO:0001075,"ovarian carcinoma",8
EFO:0001079,"obsolete_Rett syndrome",1
EFO:0001356,"familial amyotrophic lateral sclerosis",18
EFO:0001357,"sporadic amyotrophic lateral sclerosis",8
EFO:0001359,"type I diabetes mellitus",14
EFO:0001360,"type II diabetes mellitus",27
EFO:0001361,"pulmonary arterial hypertension",1
EFO:0001365,"age-related macular degeneration",17
EFO:0001376,"synovial sarcoma",0
EFO:0001378,"multiple myeloma",4
EFO:0001380,hypopituitarism,2
EFO:0001416,"cervical adenocarcinoma",1
EFO:0001422,"cirrhosis of liver",2
EFO:0001645,"coronary heart disease",2
EFO:0001663,"prostate carcinoma",10
EFO:0001666,"aortic aneurysm",0
EFO:0002428,"chronic myeloproliferative disorder",2
EFO:0002429,"polycythemia vera",2
EFO:0002430,"primary myelofibrosis",2
EFO:0002506,osteoarthritis,4
EFO:0002508,"Parkinson's disease",12
EFO:0002512,"obsolete_supranuclear palsy, progressive",1
EFO:0002609,"juvenile idiopathic arthritis",3
EFO:0002618,"pancreatic carcinoma",1
EFO:0002620,"obsolete_primary hyperparathyroidism",1
EFO:0002624,"obsolete_spinocerebellar ataxia",1
EFO:0002626,"thymus neoplasm",0
EFO:0002631,"obsolete_arrhythmogenic right ventricular cardiomyopathy",1
EFO:0002632,"obsolete_left ventricular noncompaction",0
EFO:0002689,"antiphospholipid syndrome",0
EFO:0002690,"systemic lupus erythematosus",16
EFO:0002890,"renal carcinoma",6
EFO:0002923,obsolete_retinoblastoma,1
EFO:0002939,medulloblastoma,4
EFO:0002945,"familial cardiomyopathy",1
EFO:0002946,"obsolete_alpha-1-antitrypsin deficiency",1
EFO:0003021,"interferon alpha",0
EFO:0003060,"non-small cell lung carcinoma",8
EFO:0003079,"obsolete_X-linked agammaglobulinemia",1
EFO:0003089,"obsolete_spinocerebellar ataxia type 1",1
EFO:0003090,"obsolete_spinocerebellar ataxia type 7",1
EFO:0003091,"obsolete_spinocerebellar ataxia type 17",1
EFO:0003092,obsolete_neurofibromatosis,1
EFO:0003095,"non-alcoholic fatty liver disease",1
EFO:0003096,"Pick disease",2
EFO:0003099,"Cushing syndrome",1
EFO:0003105,"spina bifida",9
EFO:0003107,"obsolete_spinal muscular atrophy with respiratory distress",1
EFO:0003108,"essential tremor",3
EFO:0003111,"obsolete_neuronal ceroid lipofuscinosis",1
EFO:0003112,"obsolete_late infantile neuronal ceroid lipofuscinosis",1
EFO:0003113,"obsolete_polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy",1
EFO:0003183,thrombin,0
EFO:0003200,"oncostatin M",0
EFO:0003233,erythropoietin,0
EFO:0003236,thrombopoietin,0
EFO:0003271,"tumor necrosis factor-alpha",0
EFO:0003276,"vascular endothelial growth factor",0
EFO:0003298,"epidermal growth factor",0
EFO:0003303,"hepatocyte growth factor",0
EFO:0003316,"basic fibroblast growth factor",0
EFO:0003756,"autism spectrum disorder",1
EFO:0003757,"Asperger syndrome",2
EFO:0003758,autism,10
EFO:0003761,"unipolar depression",3
EFO:0003767,"inflammatory bowel disease",6
EFO:0003768,"nicotine dependence",0
EFO:0003770,"diabetic retinopathy",4
EFO:0003774,hyperlipidemia,1
EFO:0003775,"obsolete_Job's syndrome",2
EFO:0003778,"psoriatic arthritis",3
EFO:0003779,"Hashimoto's thyroiditis",1
EFO:0003780,"Behcet's syndrome",0
EFO:0003783,"progressive bulbar palsy",1
EFO:0003821,"migraine disorder",1
EFO:0003823,"obsolete_spinal muscular atrophy",0
EFO:0003829,"alcohol dependence",5
EFO:0003832,"gallbladder disease",0
EFO:0003839,retinopathy,0
EFO:0003844,"ureteral neoplasm",0
EFO:0003845,"kidney stone",1
EFO:0003847,"mental retardation",4
EFO:0003854,"postmenopausal osteoporosis",5
EFO:0003860,"pancreatic neoplasm",1
EFO:0003869,"breast neoplasm",14
EFO:0003882,osteoporosis,5
EFO:0003885,"multiple sclerosis",6
EFO:0003888,"attention deficit hyperactivity disorder",1
EFO:0003889,"functional laterality",0
EFO:0003894,acne,0
EFO:0003900,ciliopathy,1
EFO:0003903,"obsolete_Wiskott-Aldrich syndrome",0
EFO:0003916,"obsolete_cerebral arteriovenous malformation",0
EFO:0003918,"obstructive sleep apnea",0
EFO:0003920,"obsolete_cleft palate",1
EFO:0003934,"obsolete_fatty liver",0
EFO:0003948,"gastroesophageal reflux disease",0
EFO:0003954,"obsolete_Treacher-Collins syndrome",1
EFO:0004121,obsolete_achondroplasia,1
EFO:0004122,"obsolete_neurofibromatosis type II",1
EFO:0004123,obsolete_acrocephalosyndactylia,3
EFO:0004124,"obsolete_Darier's disease",1
EFO:0004125,"growth hormone-secreting pituitary adenoma",2
EFO:0004126,"Adie syndrome",1
EFO:0004127,hyperthyroxinemia,2
EFO:0004129,"familial amyloid neuropathy",1
EFO:0004130,"obsolete_Diamond-Blackfan anemia",1
EFO:0004131,"obsolete_Angelman syndrome",1
EFO:0004132,obsolete_aniridia,1
EFO:0004135,"obsolete_Machado-Joseph disease",1
EFO:0004136,"obsolete_basal cell nevus syndrome",3
EFO:0004137,"obsolete_epidermolytic hyperkeratosis",2
EFO:0004138,"bundle branch block",1
EFO:0004139,"obsolete_Caffey disease",1
EFO:0004140,"obsolete_campomelic dysplasia",1
EFO:0004142,"colorectal neoplasm",20
EFO:0004143,"carpal tunnel syndrome",2
EFO:0004144,acatalasia,1
EFO:0004145,myopathy,2
EFO:0004146,"obsolete_central core myopathy",1
EFO:0004147,"obsolete_Sotos syndrome",1
EFO:0004148,"obsolete_Charcot-Marie-Tooth disease",2
EFO:0004149,neuropathy,2
EFO:0004150,obsolete_cherubism,1
EFO:0004151,"obsolete_Alagille syndrome",2
EFO:0004152,chorea,1
EFO:0004153,"obsolete_cleidocranial dysplasia",1
EFO:0004190,"open-angle glaucoma",6
EFO:0004193,"basal cell carcinoma",3
EFO:0004194,"IGA glomerulonephritis",1
EFO:0004208,Vitiligo,1
EFO:0004215,"anorexia nervosa",0
EFO:0004230,"endometrial neoplasm",6
EFO:0004235,"exfoliation syndrome",1
EFO:0004236,"focal segmental glomerulosclerosis",8
EFO:0004242,"obsessive-compulsive disorder",1
EFO:0004243,"carcinoid tumor",0
EFO:0004244,"interstitial lung disease",1
EFO:0004246,"mucocutaneous lymph node syndrome",0
EFO:0004252,"nasopharyngeal neoplasm",1
EFO:0004253,nephrolithiasis,1
EFO:0004255,"nephrotic syndrome",6
EFO:0004261,"osteitis deformans",3
EFO:0004266,"primary ovarian insufficiency",13
EFO:0004268,"sclerosing cholangitis",1
EFO:0004270,"restless legs syndrome",2
EFO:0004272,"anemia (phenotype)",1
EFO:0004276,"Stevens-Johnson syndrome",1
EFO:0004278,"sudden cardiac arrest",2
EFO:0004562,cryptorchidism,2
EFO:0004698,insomnia,1
EFO:0004719,"pemphigus vulgaris",0
EFO:0004720,"prion disease",1
EFO:0004799,cholelithiasis,1
EFO:0004895,"Tourette syndrome",1
EFO:0004911,"familial hypercholesterolemia",4
EFO:0004922,GM00719,1
EFO:0004991,"Myasthenia gravis",2
EFO:0004994,"lumbar disc degeneration",6
EFO:0005140,"autoimmune disease",3
EFO:0005204,"bulimia nervosa",0
EFO:0005207,"congenital heart disease",1
EFO:0005252,"orthostatic hypotension",1
EFO:0005269,"congenital heart malformation",2
EFO:0005287,"reticulum cell sarcoma",0
EFO:0005296,"migraine without aura",0
EFO:0005297,"Granulomatosis with Polyangiitis",0
EFO:0005303,"sudden infant death syndrome",4
EFO:0005304,"atrial conduction disease",1
EFO:0005410,"tooth agenesis",1
EFO:0005423,"adolescent idiopathic scoliosis",1
EFO:0005424,dyslexia,3
EFO:0005425,"language impairment",1
EFO:0005532,angioedema,1
EFO:0005543,glioma,2
EFO:0005545,"congenital disorder of glycosylation type I",3
EFO:0005546,"congenital disorder of glycosylation type II",4
EFO:0005555,"gamma chain deficiency",1
EFO:0005556,"Gilbert syndrome",1
EFO:0005560,"hereditary multiple exostoses",1
EFO:0005561,histiocytoma,4
EFO:0005569,microphthalmia,2
EFO:0005571,osteochondrodysplasia,1
EFO:0005576,"pernicious anemia",0
EFO:0005580,"red color blindness",1
EFO:0005581,"red-green color blindness",2
EFO:0005584,"seborrheic keratosis",2
EFO:0005669,"intracerebral hemorrhage",3
EFO:0005717,"retinoblastoma (nonhereditary)",1
EFO:0005773,"retinal detachment",0
EFO:0005809,"type II hypersensitivity reaction disease",3
EFO:0005840,"Pyruvate kinase hyperactivity",1
EFO:0005842,"colorectal cancer",4
EFO:0005854,"allergic rhinitis",2
EFO:0005895,"ossification of the posterior longitudinal ligament of the spine",1
EFO:0005917,"generalised epilepsy",5
EFO:0005922,"esophageal squamous cell carcinoma",8
EFO:0005938,"congenital left-sided heart lesions",2
EFO:0006342,"aggressive periodontitis",1
EFO:0006343,"chronic periodontitis",1
EFO:0006513,"hereditary hemochromatosis type 1",1
EFO:0006792,"Lewy body dementia",1
EFO:0006803,vasculitis,1
EFO:0006856,"leucine-induced hypoglycemia",1
EFO:0006862,"Meniere disease",0
EFO:0007132,"acute hemorrhagic leukoencephalitis",0
EFO:0007140,"allergic bronchopulmonary aspergillosis",0
EFO:0007143,"alveolar soft part sarcoma",0
EFO:0007160,"autoimmune thrombocytopenic purpura",0
EFO:0007164,"Balkan nephropathy",0
EFO:0007193,"carbamoyl phosphate synthetase I deficiency disease",1
EFO:0007236,"diffuse idiopathic skeletal hyperostosis",0
EFO:0007244,"Ebstein anomaly",0
EFO:0007251,"endocardial fibroelastosis",0
EFO:0007269,"Felty's syndrome",0
EFO:0007275,"focal epithelial hyperplasia",0
EFO:0007290,"Goodpasture syndrome",0
EFO:0007297,"HELLP syndrome",0
EFO:0007323,"inclusion body myositis",0
EFO:0007409,"ornithine carbamoyltransferase deficiency",1
EFO:0007493,spondylolisthesis,0
EFO:0007498,"Stiff-Person syndrome",0
EFO:0007502,"subacute sclerosing panencephalitis",0
EFO:0007527,"tropical spastic paraparesis",0
EFO:0008493,"cerebral small vessel disease",1
EFO:0008519,"primary hyperparathyroidism",0
EFO:0008610,"ocular cicatricial pemphigoid",0
EFO:0008618,"Medullary Cystic Kidney Disease Type II",1
EFO:0009001,Mastocytosis,1
EFO:0009015,"AHDC1-related intellectual disability-obstructive sleep apnea-mild dysmorphism syndrome",1
EFO:0009016,"Ataxia-oculomotor apraxia type 4",1
EFO:0009017,"Autosomal recessive spastic paraplegia type 57",1
EFO:0009018,"Autosomal recessive spastic paraplegia type 75",1
EFO:0009019,"Autosomal recessive spastic paraplegia type 76",1
EFO:0009020,"Aymé-Gripp syndrome",1
EFO:0009021,"Bardet-Biedl syndrome 1",3
EFO:0009022,"Bardet-Biedl syndrome 10",1
EFO:0009023,"Bardet-Biedl syndrome 12",1
EFO:0009024,"Bardet-Biedl syndrome 4",1
EFO:0009025,"Bardet-Biedl syndrome 5",1
EFO:0009026,"Bardet-Biedl syndrome 7",1
EFO:0009027,"Bardet-Biedl syndrome 9",1
EFO:0009028,"Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome",1
EFO:0009030,"Cerebellar-facial-dental syndrome",1
EFO:0009031,"Cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome",1
EFO:0009032,"Combined oxidative phosphorylation defect type 21",1
EFO:0009033,"Combined oxidative phosphorylation defect type 23",1
EFO:0009034,"Combined oxidative phosphorylation defect type 24",1
EFO:0009036,"Combined oxidative phosphorylation defect type 26",1
EFO:0009037,"Combined oxidative phosphorylation defect type 27",1
EFO:0009038,"Combined oxidative phosphorylation defect type 30",1
EFO:0009040,"Cranio-cervical dystonia with laryngeal and upper-limb involvement",1
EFO:0009043,"Familial porphyria cutanea tarda",1
EFO:0009044,"Fanconi anemia complementation group A",1
EFO:0009045,"Fanconi anemia complementation group F",1
EFO:0009046,"Fanconi anemia complementation group G",1
EFO:0009049,"Juvenile nephropathic cystinosis",1
EFO:0009050,"Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome",1
EFO:0009052,"Pleuropulmonary blastoma",1
EFO:0009055,"RIDDLE syndrome",1
EFO:0009056,"Spinocerebellar ataxia type 38",1
EFO:0009057,"Spinocerebellar ataxia type 40",1
EFO:0009058,"Spinocerebellar ataxia type 41",1
EFO:0009059,"Spinocerebellar ataxia type 42",1
EFO:0009060,"Spinocerebellar ataxia type 43",1
EFO:0009061,"TELO2-related intellectual disability-neurodevelopmental disorder",1
EFO:0009062,"Temple-Baraitser syndrome",1
EFO:0009063,"Wolfram-like syndrome",1
EFO:0009064,"X-linked erythropoietic protoporphyria",1
EFO:0009070,"intellectual developmental disorder with dysmorphic facies and ptosis",1
EFO:0009071,"malignant hyperthermia, susceptibility to, 1",1
EFO:0009075,"neuropathy, hereditary motor and sensory, type vib",1
EFO:0009076,"nonsyndromic deafness",1
EFO:0009077,"premature chromatid separation trait",1
EFO:0009080,"x-linked ichthyosis with steryl-sulfatase deficiency",1
EFO:0009082,Pilomatrixoma,1
EFO:0009137,"renal hypodysplasia/aplasia 3",1
EFO:0009144,"Lethal neonatal spasticity-epileptic encephalopathy syndrome",1
EFO:0009148,"acth-independent macronodular adrenal hyperplasia 2",1
EFO:0009149,"muscular dystrophy, congenital, with cataracts and intellectual disability",1
EFO:0009150,"cholestasis, intrahepatic, of pregnancy 3",1
EFO:0009151,"cone-rod dystrophy and hearing loss",2
EFO:0009152,"mental retardation, autosomal dominant 52",1
EFO:0009153,"lymphedema, hereditary, iii",1
EFO:0009155,"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy",1
EFO:0009156,"mental retardation, autosomal dominant 48",1
EFO:0009157,"susceptibility to malaria",13
EFO:0009158,"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy",2
EFO:0009159,"combined oxidative phosphorylation deficiency 33",1
EFO:0009160,"stromme syndrome",1
EFO:0009162,"charcot-marie-tooth disease, axonal, type 2t",1
EFO:0009163,"woolly hair, autosomal recessive 2, with or without hypotrichosis",1
EFO:0009164,"mental retardation, autosomal dominant 54",1
EFO:0009165,"mental retardation, autosomal dominant 53",1
EFO:0009171,"blood group--lutheran inhibitor",1
EFO:0009172,"thyroxine-binding globulin measurement",1
EFO:0009190,Thyrotoxicosis,0
EFO:0009295,"polyarteritis nodosa, childhoood-onset",1
EFO:0009300,"neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant",1
EFO:0009301,"dystonia 28, childhood-onset",1
EFO:0009302,"amelogenesis imperfecta, type ij",1
EFO:0009316,"protein c deficiency",1
EFO:0009383,"tumoral calcinosis, hyperphosphatemic, familial, 2",1
EFO:0009384,"tumoral calcinosis, hyperphosphatemic, familial, 3",1
EFO:0009531,"aortic valve disease",0
EFO:0009538,"chronic inflammatory demyelinating polyneuropathy",1
EFO:0009610,"cervical spondylosis",0
EFO:0009644,"neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy",1
EFO:0009645,"neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",1
EFO:0009647,"epilepsy, hearing loss, and mental retardation syndrome",1
EFO:0009650,hyperproinsulinemia,1
EFO:0009904,"Lopes-Maciel-Rodan syndrome",1
EFO:0009914,"FA complementation group E",0
EFO:0009915,"TBC1 domain family member 24",0
EFO:0009916,"ATP binding cassette subfamily B member 6",0
EFO:0010166,"Warburg-Cinotti syndrome",1
EFO:0010167,"squalene synthase deficiency",1
EFO:0010168,"spondyloepiphyseal dysplasia, Kondo-Fu type",1
EFO:0010248,"spinocerebellar ataxia, autosomal recessive, 27",1
EFO:0010249,"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3",1
EFO:0010250,"polydactyly, postaxial, A9",1
EFO:0010251,"spinocerebellar ataxia 48",1
EFO:0010252,"Menke-Hennekam syndrome 1",1
EFO:0010253,"Menke-Hennekam syndrome 2",1
EFO:0010254,"obsolete_Popov-Chang syndrome",0
EFO:0010255,"metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression",1
EFO:0010256,"neurodegeneration, childhood-onset, with cerebellar atrophy",1
EFO:0010257,"global developmental delay, progressive ataxia, and elevated glutamine",1
EFO:0010258,"inflammatory bowel disease, immunodeficiency, and encephalopathy",1
EFO:0010259,"intellectual developmental disorder with macrocephaly, seizures, and speech delay",1
EFO:0010260,"global developmental delay with or without impaired intellectual development",1
EFO:0010261,"Paganini-Miozzo syndrome",1
EFO:0010262,"leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate",1
EFO:0010263,"gastrointestinal ulceration, recurrent, with dysfunctional platelets",1
EFO:0010264,"spinal muscular atrophy, lower extremity-predominant, 2B, prenatal onset, autosomal dominant",1
EFO:0010266,"Charcot-Marie-Tooth disease type 1G",1
EFO:0010267,"autosomal dominant intermediate Charcot-Marie-Tooth disease type G",1
EFO:0010268,"brain abnormalities, neurodegeneration, and dysosteosclerosis",1
EFO:0010276,"neurodevelopmental disorder with seizures and non-epileptic hyperkinetic movements",1
EFO:0010277,"O'Donnell-Luria-Rodan syndrome",1
EFO:0010278,"Shukla-Vernon syndrome",1
EFO:0010279,"GIST-plus syndrome",1
EFO:0010280,"intellectual developmental disorder, autosomal recessive 71",1
EFO:0010560,"neurodevelopmental disorder with ataxia, hypotonia, and microcephaly",1
EFO:0010561,"neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies",1
EFO:0010562,"neurodevelopmental disorder with cerebellar hypoplasia and spasticity",1
EFO:0010563,"neurodevelopmental disorder with structural brain anomalies and dysmorphic facies",1
EFO:0010564,"glycosylphosphatidylinositol biosynthesis defect 21",1
EFO:0010565,"myopathy, congenital, progressive, with scoliosis",1
EFO:0010566,"intellectual developmental disorder 60 with seizures",1
EFO:0010567,"spastic tetraplegia and axial hypotonia, progressive",1
EFO:0010568,"neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities",1
EFO:0010630,"intellectual developmental disorder with nasal speech, dysmorphic facies, and variable skeletal anomalies",1
EFO:0010631,"neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies",1
EFO:0010632,"Lessel-Kubisch syndrome",1
EFO:0010633,"Siddiqi syndrome",1
EFO:0010634,"Snijders Blok-Fisher syndrome",1
EFO:0010635,"Weiss-Kruszka syndrome",1
EFO:0010636,"pontocerebellar hypoplasia type 13",1
EFO:0010643,"Snijders Blok-Campeau syndrome",1
EFO:0010644,"Developmental delay with variable intellectual impairment and behavioural abnormalities",1
EFO:0010646,"genetic non-acquired premature ovarian failure",1
EFO:0010651,"intellectual developmental disorder with impaired language and dysmorphic facies",1
EFO:0010652,"intellectual developmental disorder with short stature and behavioral abnormalities",1
EFO:0010653,"intellectual developmental disorder with speech delay, autism and dysmorphic facies",1
EFO:0010654,"intellectual developmental disorder, autosomal recessive 72",1
EFO:0010655,"megabladder, congenital",1
EFO:0010656,"mitochondrial complex V deficiency, nuclear type 6",1
EFO:0010657,"neurodevelopmental disorder with absent language and variable seizures",1
EFO:0010658,"neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia",1
EFO:0010659,"neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies",1
EFO:0010660,"neurodevelopmental disorder with macrocephaly and with or without seizures",1
EFO:0010661,"neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures",1
EFO:0010662,"neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies",1
EFO:0010663,"neurooculocardiogenitourinary syndrome",1
EFO:0010664,"pulmonary fibrosis, and/or bone marrow failure, telomere-related, 5",1
EFO:0010665,"short stature and microcephaly with genital anomalies",1
EFO:1000012,"Rienhoff syndrome",1
EFO:1000033,"obsolete_hydrolethalus syndrome",2
EFO:1000062,"lactose intolerance",1
EFO:1000063,"lactose intolerance adult type",1
EFO:1000068,"Acute Leukemia",0
EFO:1000120,"Benign Skin Appendage Neoplasm",1
EFO:1000177,"Choroid Plexus Papilloma",1
EFO:1000249,"Extramammary Paget Disease",0
EFO:1000298,"Hydatidiform Mole",4
EFO:1000309,"Juvenile Myelomonocytic Leukemia",7
EFO:1000318,"Langerhans Cell Histiocytosis",0
EFO:1000334,"Lung Lymphangioleiomyomatosis",2
EFO:1000355,"Malignant Mesothelioma",4
EFO:1000359,"Malignant Pancreatic Neoplasm",1
EFO:1000419,"Ovarian Germ Cell Tumor",0
EFO:1000453,Paraganglioma,2
EFO:1000456,"Parathyroid Gland Carcinoma",1
EFO:1000478,"Pituitary Gland Adenoma",1
EFO:1000496,"Prolactin-Producing Pituitary Gland Adenoma",1
EFO:1000552,"Subcutaneous Panniculitis-Like T-Cell Lymphoma",1
EFO:1000566,"Testicular Germ Cell Tumor",5
EFO:1000643,"infantile epileptic encephalopathy",1
EFO:1000644,"newborn respiratory distress syndrome",3
EFO:1000645,"orthostatic intolerance",1
EFO:1000666,"acrokeratosis verruciformis",1
EFO:1000667,"adiposis dolorosa",0
EFO:1000685,dermatographia,0
EFO:1000686,"dermatosis papulosa nigra",0
EFO:1000708,"hereditary papulotranslucent acrokeratoderma",0
EFO:1000711,"hyperpigmentation of eyelid",0
EFO:1000737,"multiple symmetric lipomatosis",0
EFO:1000758,"punctate palmoplantar keratoderma type III",0
EFO:1000775,"vibratory urticaria",1
EFO:1000796,"adrenal cortex carcinoma",1
EFO:1000805,"angioid streaks",0
EFO:1000818,"arcus senilis",0
EFO:1000852,"carcinoid syndrome",0
EFO:1000888,"cystic lymphangioma",0
EFO:1000890,"Dandy-Walker syndrome",0
EFO:1000897,"diabetic ketoacidosis",1
EFO:1000938,"fibromuscular dysplasia",0
EFO:1000940,"Frey Syndrome",0
EFO:1000946,"gastric mucosal hypertrophy",0
EFO:1000949,gastroschisis,0
EFO:1000954,"habitual abortion",4
EFO:1001010,"Landau-Kleffner syndrome",1
EFO:1001036,"Meckel's diverticulum",0
EFO:1001039,"Melkersson-Rosenthal syndrome",0
EFO:1001046,"obsolete_Mobius syndrome",0
EFO:1001050,"multiple system atrophy",1
EFO:1001051,"mycosis fungoides",0
EFO:1001053,"myoclonic cerebellar dyssynergia",0
EFO:1001055,myxedema,0
EFO:1001065,"normal pressure hydrocephalus",1
EFO:1001088,"pars planitis",0
EFO:1001093,"Pelger-Huet anomaly",1
EFO:1001103,"persistent fetal circulation syndrome",2
EFO:1001112,"platelet storage pool deficiency",0
EFO:1001132,"pseudotumor cerebri",0
EFO:1001142,"pyruvate carboxylase deficiency disease",1
EFO:1001145,"Raynaud disease",0
EFO:1001147,"reflex sympathetic dystrophy",0
EFO:1001169,scurvy,0
EFO:1001186,"Sneddon syndrome",1
EFO:1001209,"temporal arteritis",0
EFO:1001211,"thromboangiitis obliterans",0
EFO:1001219,"trigeminal neuralgia",0
EFO:1001227,ureterocele,0
