UniProt,Symbol,Expression Source,Expression Tissue,Expression Numeric Value,Expression Uberon ID,Expression Soure ID
P32929,CTH,HPA RNA,medial periolivary nuclei,2.4,UBERON:0002971,ENSG00000116761
P32929,CTH,HPA RNA,medial vestibular nucleus,2.6,UBERON:0001722,ENSG00000116761
P32929,CTH,HPA RNA,median raphe nucleus,3.0,UBERON:0003004,ENSG00000116761
P32929,CTH,HPA RNA,middle cingulate cortex,2.9,UBERON:0003027,ENSG00000116761
P32929,CTH,HPA RNA,middle frontal gyrus,2.9,UBERON:0002702,ENSG00000116761
P32929,CTH,HPA RNA,middle temporal gyrus,2.6,UBERON:0002771,ENSG00000116761
P32929,CTH,HPA RNA,motor facial nucleus,2.4,UBERON:0003011,ENSG00000116761
P32929,CTH,HPA RNA,motor hypoglossal nucleus,2.9,UBERON:0002871,ENSG00000116761
P32929,CTH,HPA RNA,motor trigeminal nucleus,2.3,UBERON:0002633,ENSG00000116761
P32929,CTH,HPA RNA,nuclei of the trapezoid body,2.7,UBERON:0007633,ENSG00000116761
P32929,CTH,HPA RNA,nucleus accumbens,2.6,UBERON:0001882,ENSG00000116761
P32929,CTH,HPA RNA,nucleus ambiguus,2.2,UBERON:0001719,ENSG00000116761
P32929,CTH,HPA RNA,nucleus basalis of Meynert,2.5,UBERON:0010010,ENSG00000116761
P32929,CTH,HPA RNA,nucleus gracilis,2.4,UBERON:0002161,ENSG00000116761
P32929,CTH,HPA RNA,nucleus of the diagonal band,3.0,UBERON:0001879,ENSG00000116761
P32929,CTH,HPA RNA,nucleus raphe magnus,2.6,UBERON:0002156,ENSG00000116761
P32929,CTH,HPA RNA,nucleus raphe obscurus,2.4,UBERON:0002684,ENSG00000116761
P32929,CTH,HPA RNA,nucleus raphe pallidus,2.0,UBERON:0002157,ENSG00000116761
P32929,CTH,HPA RNA,nucleus reuniens,2.3,UBERON:0001921,ENSG00000116761
P32929,CTH,HPA RNA,nucleus rhomboideus,2.8,UBERON:0002955,ENSG00000116761
P32929,CTH,HPA RNA,nucleus tractus solitarii,3.4,UBERON:0009050,ENSG00000116761
P32929,CTH,HPA RNA,occipital cortex,2.8,UBERON:0016540,ENSG00000116761
P32929,CTH,HPA RNA,olfactory area,3.2,UBERON:0022453,ENSG00000116761
P32929,CTH,HPA RNA,olfactory tubercle,3.0,UBERON:0001883,ENSG00000116761
P32929,CTH,HPA RNA,"orbitofrontal gyrus, anterior",3.0,UBERON:0004167,ENSG00000116761
P32929,CTH,HPA RNA,"paracentral lobule, anterior",3.2,UBERON:0035933,ENSG00000116761
P32929,CTH,HPA RNA,parahippocampal cortex,2.8,UBERON:0002973,ENSG00000116761
P32929,CTH,HPA RNA,paramedian reticular nucleus,3.0,UBERON:0007764,ENSG00000116761
P32929,CTH,HPA RNA,paraventricular nucleus,2.1,UBERON:0001930,ENSG00000116761
P32929,CTH,HPA RNA,parietal cortex,2.7,UBERON:0016530,ENSG00000116761
P32929,CTH,HPA RNA,parietal operculum,3.1,UBERON:0002911,ENSG00000116761
P32929,CTH,HPA RNA,parieto-occipital transitional area,2.8,UBERON:0002695,ENSG00000116761
P32929,CTH,HPA RNA,parieto-temporal junction (white matter),2.3,UBERON:0023852,ENSG00000116761
P32929,CTH,HPA RNA,parvicellular reticular nuclei,2.2,UBERON:0016633,ENSG00000116761
P32929,CTH,HPA RNA,pedunculopontine tegmental nucleus,2.5,UBERON:0002142,ENSG00000116761
P32929,CTH,HPA RNA,"periaquaductal grey, anterior",2.4,UBERON:0003040,ENSG00000116761
P32929,CTH,HPA RNA,perirhinal gyrus,3.2,UBERON:0006083,ENSG00000116761
P32929,CTH,HPA RNA,peritrigeminal nucleus,2.7,UBERON:0002879,ENSG00000116761
P32929,CTH,HPA RNA,piriform cortex,2.5,UBERON:0004725,ENSG00000116761
P32929,CTH,HPA RNA,pontine raphe nucleus,3.2,UBERON:0002047,ENSG00000116761
P32929,CTH,HPA RNA,postcentral gyrus,3.0,UBERON:0002581,ENSG00000116761
P32929,CTH,HPA RNA,posterior cingulate cortex,2.4,UBERON:0022353,ENSG00000116761
P32929,CTH,HPA RNA,posterior thalamic nucleus,2.6,UBERON:0003030,ENSG00000116761
P32929,CTH,HPA RNA,posteroventral cochlear nucleus,2.5,UBERON:0002831,ENSG00000116761
P32929,CTH,HPA RNA,precentral gyrus,2.5,UBERON:0002703,ENSG00000116761
P32929,CTH,HPA RNA,precuneus,2.4,UBERON:0006093,ENSG00000116761
P32929,CTH,HPA RNA,"premotor cortex, dorsal",3.0,UBERON:0016634,ENSG00000116761
P32929,CTH,HPA RNA,preoptic area,3.5,UBERON:0001928,ENSG00000116761
P32929,CTH,HPA RNA,prepositus hypoglossal nucleus,2.4,UBERON:0002160,ENSG00000116761
P32929,CTH,HPA RNA,pretectal area,2.7,UBERON:0001944,ENSG00000116761
P32929,CTH,HPA RNA,principal sensory trigeminal nucleus,2.4,UBERON:0002597,ENSG00000116761
P32929,CTH,HPA RNA,pulvinar,2.5,UBERON:0002981,ENSG00000116761
P32929,CTH,HPA RNA,putamen,2.3,UBERON:0001874,ENSG00000116761
P32929,CTH,HPA RNA,red nucleus,2.2,UBERON:0001947,ENSG00000116761
P32929,CTH,HPA RNA,"reticular pontine nucleus, caudal",2.2,UBERON:0002963,ENSG00000116761
P32929,CTH,HPA RNA,"reticular pontine nucleus, oral",2.4,UBERON:0002999,ENSG00000116761
P32929,CTH,HPA RNA,reticulotegmental nucleus,2.5,UBERON:0002147,ENSG00000116761
P32929,CTH,HPA RNA,retrosplenial cortex,2.9,UBERON:0013531,ENSG00000116761
P32929,CTH,HPA RNA,septal nuclei,3.0,UBERON:0002663,ENSG00000116761
P32929,CTH,HPA RNA,skin,1.1,UBERON:0002097,ENSG00000116761
P32929,CTH,HPA RNA,"somatosensory cortex, postcentral gyrus, ventral (white matter)",3.0,UBERON:0008930,ENSG00000116761
P32929,CTH,HPA RNA,"spinal trigeminal nucleus, caudal",2.2,UBERON:0002866,ENSG00000116761
P32929,CTH,HPA RNA,"spinal trigeminal nucleus, interpolar",2.7,UBERON:0002873,ENSG00000116761
P32929,CTH,HPA RNA,"spinal trigeminal nucleus, oral",2.4,UBERON:0002591,ENSG00000116761
P32929,CTH,HPA RNA,spinal vestibular nucleus,2.4,UBERON:0007228,ENSG00000116761
P32929,CTH,HPA RNA,spleen,0.7,UBERON:0002106,ENSG00000116761
P32929,CTH,HPA RNA,stomach,4.9,UBERON:0000945,ENSG00000116761
P32929,CTH,HPA RNA,"stria terminalis, bed nucleus",3.4,UBERON:0003029,ENSG00000116761
P32929,CTH,HPA RNA,subcallosal gyrus,3.8,UBERON:0003020,ENSG00000116761
P32929,CTH,HPA RNA,subiculum,2.8,UBERON:0002191,ENSG00000116761
P32929,CTH,HPA RNA,substantia nigra,3.1,UBERON:0002038,ENSG00000116761
P32929,CTH,HPA RNA,subthalamic nucleus,2.3,UBERON:0001906,ENSG00000116761
P32929,CTH,HPA RNA,superior colliculus,2.3,UBERON:0001945,ENSG00000116761
P32929,CTH,HPA RNA,superior frontal gyrus,3.1,UBERON:0002661,ENSG00000116761
P32929,CTH,HPA RNA,superior olive,2.4,UBERON:0002128,ENSG00000116761
P32929,CTH,HPA RNA,superior parietal lobule,2.6,UBERON:0006094,ENSG00000116761
P32929,CTH,HPA RNA,superior temporal gyrus,2.8,UBERON:0002769,ENSG00000116761
P32929,CTH,HPA RNA,superior vestibular nucleus,2.7,UBERON:0007227,ENSG00000116761
P32929,CTH,HPA RNA,supplementary motor cortex,2.8,UBERON:0016636,ENSG00000116761
P32929,CTH,HPA RNA,suprachiasmatic nucleus,6.6,UBERON:0002034,ENSG00000116761
P32929,CTH,HPA RNA,supramarginal gyrus,3.0,UBERON:0002688,ENSG00000116761
P32929,CTH,HPA RNA,supraoptic nucleus,3.1,UBERON:0001929,ENSG00000116761
P32929,CTH,HPA RNA,temporal cortex,2.8,UBERON:0016538,ENSG00000116761
P32929,CTH,HPA RNA,temporal pole,3.2,UBERON:0002576,ENSG00000116761
P32929,CTH,HPA RNA,temporal white matter,2.2,UBERON:0016534,ENSG00000116761
P32929,CTH,HPA RNA,thymus,0.6,UBERON:0002370,ENSG00000116761
P32929,CTH,HPA RNA,tongue,3.0,UBERON:0001723,ENSG00000116761
P32929,CTH,HPA RNA,"transversal temporal gyrus, anterior",2.8,UBERON:0002773,ENSG00000116761
P32929,CTH,HPA RNA,"transversal temporal gyrus, posterior",2.6,UBERON:0002774,ENSG00000116761
P32929,CTH,HPA RNA,ventral posterolateral thalamic nucleus,2.3,UBERON:0002942,ENSG00000116761
P32929,CTH,HPA RNA,ventral posteromedial thalamic nucleus,2.6,UBERON:0002945,ENSG00000116761
P32929,CTH,HPA RNA,ventral tegmental area,2.5,UBERON:0002691,ENSG00000116761
P32929,CTH,HPA RNA,ventral thalamic nuclei,2.3,UBERON:0002776,ENSG00000116761
P32929,CTH,HPA RNA,"ventrolateral medulla, A1/C1 cell groups",2.5,UBERON:0008335,ENSG00000116761
P32929,CTH,HPA RNA,ventromedial nucleus,3.3,UBERON:0001935,ENSG00000116761
P32929,CTH,HPA RNA,vermis,3.2,UBERON:0004720,ENSG00000116761
P32929,CTH,HPA RNA,zona incerta,2.3,UBERON:0001907,ENSG00000116761
P32929,CTH,JensenLab TISSUES,BTO:0000042,4.887,UBERON:0000468,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Whole body,4.738,UBERON:0013702,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Viscus,4.72,UBERON:0002075,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gland,4.711,UBERON:0002530,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Endocrine gland,4.704,UBERON:0002368,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Urogenital system,4.56,UBERON:0004122,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Urinary tract,4.546,UBERON:0001008,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Excretory gland,4.54,UBERON:0009961,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Integument,4.455,UBERON:0002199,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Respiratory system,4.392,UBERON:0001004,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Trachea,4.124,UBERON:0003126,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hematopoietic system,2.881,UBERON:0002390,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blood,2.88,UBERON:0000178,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cardiovascular system,2.779,UBERON:0004535,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Nervous system,2.751,UBERON:0001016,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Central nervous system,2.676,UBERON:0001017,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Head,2.663,UBERON:0000033,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hematopoietic cell,2.531,CL:0000988,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Reproductive system,2.511,UBERON:0000990,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Immune system,2.486,UBERON:0002405,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vertebrate muscular system,2.483,UBERON:0000383,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Muscle,2.482,UBERON:0001015,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Female reproductive system,2.453,UBERON:0000474,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Alimentary canal,2.447,UBERON:0001007,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Gastrointestinal tract,2.442,UBERON:0001555,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Leukocyte,2.424,CL:0000738,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Internal female genital organ,2.362,UBERON:0003975,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Trunk,2.355,UBERON:0002100,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blood vessel,2.353,UBERON:0001981,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Artery,2.33,UBERON:0001637,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Blood plasma,2.301,UBERON:0001969,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Lymphoid tissue,2.246,UBERON:0001744,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Intestine,2.245,UBERON:0000160,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Endothelium,2.18,UBERON:0001986,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Lymphocyte,2.177,CL:0000542,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Neck,2.168,UBERON:0000974,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Embryonic structure,2.162,UBERON:0002050,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Epithelium,2.158,UBERON:0000483,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Large intestine,2.147,UBERON:0000059,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Mucosa,2.137,UBERON:0000344,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Aorta,2.129,UBERON:0000947,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Connective tissue,2.115,UBERON:0002384,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Forebrain,2.102,UBERON:0001890,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Myocardium,2.089,UBERON:0002349,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Telencephalon,2.083,UBERON:0001893,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cerebral hemisphere,2.062,UBERON:0001869,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Endothelial cell,2.022,CL:0000115,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cerebral lobe,1.999,UBERON:0016526,ENSP00000359976
P32929,CTH,JensenLab TISSUES,BTO:0000379,1.995,UBERON:0000922,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Carotid body,1.988,UBERON:0001629,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Skeletal system,1.962,UBERON:0001434,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Uterus,1.914,UBERON:0000995,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Brain stem,1.906,UBERON:0002298,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vasculature,1.893,UBERON:0002049,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Smooth muscle cell,1.873,CL:0000192,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Carotid artery,1.859,UBERON:0005396,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Male reproductive system,1.825,UBERON:0000079,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Temporal lobe,1.794,UBERON:0001871,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Internal male genital organ,1.785,UBERON:0004054,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hindbrain,1.784,UBERON:0002028,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Vascular endothelial cell,1.784,CL:0002139,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Hepatocyte,1.783,CL:0000182,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Neuron,1.773,CL:0000540,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Cecum,1.745,UBERON:0001153,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Macrophage,1.734,CL:0000235,ENSP00000359976
P32929,CTH,JensenLab TISSUES,Metencephalon,1.728,UBERON:0001895,ENSP00000359976
