kegg_pathwayid,kegg_pathwayname,kegg_diseaseid,kegg_diseasename
hsa00010,"Glycolysis / Gluconeogenesis",H01951,"Glycogen storage disease type X"
hsa00260,"Glycine, serine and threonine metabolism",H01951,"Glycogen storage disease type X"
hsa04922,"Glucagon signaling pathway",H01951,"Glycogen storage disease type X"
hsa00010,"Glycolysis / Gluconeogenesis",H01952,"Glycogen storage disease type XII"
hsa00030,"Pentose phosphate pathway",H01952,"Glycogen storage disease type XII"
hsa00051,"Fructose and mannose metabolism",H01952,"Glycogen storage disease type XII"
hsa00010,"Glycolysis / Gluconeogenesis",H01953,"Glycogen storage disease type XIII"
hsa00010,"Glycolysis / Gluconeogenesis",H01954,"Glycogen storage disease type XIV"
hsa00500,"Starch and sucrose metabolism",H01954,"Glycogen storage disease type XIV"
hsa00520,"Amino sugar and nucleotide sugar metabolism",H01954,"Glycogen storage disease type XIV"
hsa00010,"Glycolysis / Gluconeogenesis",H01997,"Pyruvate dehydrogenase E1-alpha deficiency"
hsa00620,"Pyruvate metabolism",H01997,"Pyruvate dehydrogenase E1-alpha deficiency"
hsa00010,"Glycolysis / Gluconeogenesis",H01998,"Pyruvate dehydrogenase E1-beta deficiency"
hsa00620,"Pyruvate metabolism",H01998,"Pyruvate dehydrogenase E1-beta deficiency"
hsa00010,"Glycolysis / Gluconeogenesis",H01999,"Pyruvate dehydrogenase E2 deficiency"
hsa00620,"Pyruvate metabolism",H01999,"Pyruvate dehydrogenase E2 deficiency"
hsa00010,"Glycolysis / Gluconeogenesis",H02000,"Dihydrolipoamide dehydrogenase deficiency"
hsa00020,"Citrate cycle (TCA cycle)",H02000,"Dihydrolipoamide dehydrogenase deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H02000,"Dihydrolipoamide dehydrogenase deficiency"
hsa00620,"Pyruvate metabolism",H02000,"Dihydrolipoamide dehydrogenase deficiency"
hsa00020,"Citrate cycle (TCA cycle)",H00073,"Pyruvate carboxylase deficiency"
hsa00620,"Pyruvate metabolism",H00073,"Pyruvate carboxylase deficiency"
hsa00020,"Citrate cycle (TCA cycle)",H00469,"Mitochondrial DNA depletion syndrome"
hsa00230,"Purine metabolism",H00469,"Mitochondrial DNA depletion syndrome"
hsa00240,"Pyrimidine metabolism",H00469,"Mitochondrial DNA depletion syndrome"
hsa00020,"Citrate cycle (TCA cycle)",H00804,"Multiple cutaneous and uterine leiomyomata"
hsa01100,"Metabolic pathways",H00804,"Multiple cutaneous and uterine leiomyomata"
hsa00020,"Citrate cycle (TCA cycle)",H01022,"Diseases of the tricarboxylic acid cycle"
hsa00020,"Citrate cycle (TCA cycle)",H01225,"D-2-hydroxyglutaric aciduria"
hsa00480,"Glutathione metabolism",H01225,"D-2-hydroxyglutaric aciduria"
hsa00020,"Citrate cycle (TCA cycle)",H02004,"Fumarase deficiency"
hsa00020,"Citrate cycle (TCA cycle)",H02005,"Mitochondrial complex II deficiency"
hsa00190,"Oxidative phosphorylation",H02005,"Mitochondrial complex II deficiency"
hsa00020,"Citrate cycle (TCA cycle)",H02006,"Alpha-ketoglutarate dehydrogenase complex deficiency"
hsa00020,"Citrate cycle (TCA cycle)",H02113,"Infantile cerebellar-retinal degeneration"
hsa00630,"Glyoxylate and dicarboxylate metabolism",H02113,"Infantile cerebellar-retinal degeneration"
hsa00030,"Pentose phosphate pathway",H00196,"Phosphoribosylpyrophosphate synthetase superactivity"
hsa00230,"Purine metabolism",H00196,"Phosphoribosylpyrophosphate synthetase superactivity"
hsa00030,"Pentose phosphate pathway",H00668,"Anemia due to disorders of glutathione metabolism"
hsa00480,"Glutathione metabolism",H00668,"Anemia due to disorders of glutathione metabolism"
hsa00030,"Pentose phosphate pathway",H00946,"Arts syndrome"
hsa00230,"Purine metabolism",H00946,"Arts syndrome"
hsa01100,"Metabolic pathways",H00946,"Arts syndrome"
hsa00030,"Pentose phosphate pathway",H01111,"Cortisone reductase deficiency"
hsa00140,"Steroid hormone biosynthesis",H01111,"Cortisone reductase deficiency"
hsa00980,"Metabolism of xenobiotics by cytochrome P450",H01111,"Cortisone reductase deficiency"
hsa00030,"Pentose phosphate pathway",H01135,"Ribose 5-phosphate isomerase deficiency"
hsa00030,"Pentose phosphate pathway",H01189,"Transaldolase deficiency"
hsa00030,"Pentose phosphate pathway",H01375,"Glucose 6-phosphate dehydrogenase deficiency"
hsa00480,"Glutathione metabolism",H01375,"Glucose 6-phosphate dehydrogenase deficiency"
hsa00030,"Pentose phosphate pathway",H02380,"D-glyceric aciduria"
hsa00260,"Glycine, serine and threonine metabolism",H02380,"D-glyceric aciduria"
hsa00561,"Glycerolipid metabolism",H02380,"D-glyceric aciduria"
hsa00630,"Glyoxylate and dicarboxylate metabolism",H02380,"D-glyceric aciduria"
hsa00040,"Pentose and glucuronate interconversions",H01065,Pentosuria
hsa00040,"Pentose and glucuronate interconversions",H01193,"Familial tumoral calcinosis"
hsa00500,"Starch and sucrose metabolism",H01193,"Familial tumoral calcinosis"
hsa00512,"Mucin type O-glycan biosynthesis",H01193,"Familial tumoral calcinosis"
hsa04010,"MAPK signaling pathway",H01193,"Familial tumoral calcinosis"
hsa04810,"Regulation of actin cytoskeleton",H01193,"Familial tumoral calcinosis"
hsa04961,"Endocrine and other factor-regulated calcium reabsorption",H01193,"Familial tumoral calcinosis"
hsa00051,"Fructose and mannose metabolism",H00118,"Congenital disorders of glycosylation type I"
hsa00510,"N-Glycan biosynthesis",H00118,"Congenital disorders of glycosylation type I"
hsa00510,"N-Glycan biosynthesis",H00118,"Congenital disorders of glycosylation type I"
hsa04141,"Protein processing in endoplasmic reticulum",H00118,"Congenital disorders of glycosylation type I"
hsa00052,"Galactose metabolism",H00070,Galactosemia
hsa00520,"Amino sugar and nucleotide sugar metabolism",H00070,Galactosemia
hsa00052,"Galactose metabolism",H00116,"Congenital lactase deficiency"
hsa00052,"Galactose metabolism",H01940,"Glycogen storage disease type II"
hsa04142,Lysosome,H01940,"Glycogen storage disease type II"
hsa00052,"Galactose metabolism",H02008,"Galactose-1P uridylyltransferase deficiency"
hsa00052,"Galactose metabolism",H02009,"Galactokinase deficiency"
hsa00052,"Galactose metabolism",H02010,"Galactose epimerase deficiency"
hsa00061,"Fatty acid biosynthesis",H02109,"Combined malonic and methylmalonic aciduria"
hsa00280,"Valine, leucine and isoleucine degradation",H02109,"Combined malonic and methylmalonic aciduria"
hsa00062,"Fatty acid elongation",H00149,"Neuronal ceroid lipofuscinosis"
hsa04142,Lysosome,H00149,"Neuronal ceroid lipofuscinosis"
hsa00062,"Fatty acid elongation",H00819,"Stargardt disease"
hsa01040,"Biosynthesis of unsaturated fatty acids",H00819,"Stargardt disease"
hsa02010,"ABC transporters",H00819,"Stargardt disease"
hsa00062,"Fatty acid elongation",H01364,"3-Hydroxyacyl-CoA dehydrogenase deficiency"
hsa00071,"Fatty acid degradation",H01364,"3-Hydroxyacyl-CoA dehydrogenase deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H01364,"3-Hydroxyacyl-CoA dehydrogenase deficiency"
hsa00310,"Lysine degradation",H01364,"3-Hydroxyacyl-CoA dehydrogenase deficiency"
hsa00380,"Tryptophan metabolism",H01364,"3-Hydroxyacyl-CoA dehydrogenase deficiency"
hsa00650,"Butanoate metabolism",H01364,"3-Hydroxyacyl-CoA dehydrogenase deficiency"
hsa00062,"Fatty acid elongation",H02277,"Santavuori-Haltia disease"
hsa01212,"Fatty acid metabolism",H02277,"Santavuori-Haltia disease"
hsa04142,Lysosome,H02277,"Santavuori-Haltia disease"
hsa00071,"Fatty acid degradation",H00162,"Sjogren-Larsson syndrome"
hsa00071,"Fatty acid degradation",H00178,"Glutaric acidemia"
hsa00310,"Lysine degradation",H00178,"Glutaric acidemia"
hsa00380,"Tryptophan metabolism",H00178,"Glutaric acidemia"
hsa00071,"Fatty acid degradation",H00375,"SBCAD deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H00375,"SBCAD deficiency"
hsa01212,"Fatty acid metabolism",H00375,"SBCAD deficiency"
hsa00071,"Fatty acid degradation",H00392,"VLCAD deficiency"
hsa01212,"Fatty acid metabolism",H00392,"VLCAD deficiency"
hsa00071,"Fatty acid degradation",H00488,"MCAD deficiency"
hsa01212,"Fatty acid metabolism",H00488,"MCAD deficiency"
hsa00071,"Fatty acid degradation",H00525,"Disorders of mitochondrial fatty-acid oxidation"
hsa00071,"Fatty acid degradation",H01352,"Mitochondrial trifunctional protein deficiency"
hsa01212,"Fatty acid metabolism",H01352,"Mitochondrial trifunctional protein deficiency"
hsa00071,"Fatty acid degradation",H01400,"Secondary hyperammonemia"
hsa00280,"Valine, leucine and isoleucine degradation",H01400,"Secondary hyperammonemia"
hsa00071,"Fatty acid degradation",H01980,"SCAD deficiency"
hsa01212,"Fatty acid metabolism",H01980,"SCAD deficiency"
hsa00071,"Fatty acid degradation",H01981,"Carnitine palmitoyltransferase I deficiency"
hsa01212,"Fatty acid metabolism",H01981,"Carnitine palmitoyltransferase I deficiency"
hsa00071,"Fatty acid degradation",H01982,"Carnitine palmitoyltransferase II deficiency"
hsa01212,"Fatty acid metabolism",H01982,"Carnitine palmitoyltransferase II deficiency"
hsa00071,"Fatty acid degradation",H02096,"Peroxisomal acyl-CoA oxidase deficiency"
hsa01040,"Biosynthesis of unsaturated fatty acids",H02096,"Peroxisomal acyl-CoA oxidase deficiency"
hsa03320,"PPAR signaling pathway",H02096,"Peroxisomal acyl-CoA oxidase deficiency"
hsa04146,Peroxisome,H02096,"Peroxisomal acyl-CoA oxidase deficiency"
hsa00072,"Synthesis and degradation of ketone bodies",H01076,"Alpha-methylacetoacetic aciduria"
hsa00280,"Valine, leucine and isoleucine degradation",H01076,"Alpha-methylacetoacetic aciduria"
hsa00072,"Synthesis and degradation of ketone bodies",H01121,"Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H01121,"Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency"
hsa00650,"Butanoate metabolism",H01121,"Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency"
hsa00072,"Synthesis and degradation of ketone bodies",H01123,"HMG-CoA synthase deficiency"
hsa00280,"Valine, leucine and isoleucine degradation",H01123,"HMG-CoA synthase deficiency"
hsa00650,"Butanoate metabolism",H01123,"HMG-CoA synthase deficiency"
hsa00900,"Terpenoid backbone biosynthesis",H01123,"HMG-CoA synthase deficiency"
hsa00100,"Steroid biosynthesis",H00148,"Lysosomal acid lipase deficiency"
hsa04142,Lysosome,H00148,"Lysosomal acid lipase deficiency"
hsa00100,"Steroid biosynthesis",H00161,"Smith-Lemli-Opitz syndrome"
hsa00100,"Steroid biosynthesis",H00496,"Congenital hemidysplasia with ichthyosiform nevus and limb defects (CHILD)"
hsa00100,"Steroid biosynthesis",H00617,Desmosterolosis
hsa01100,"Metabolic pathways",H00617,Desmosterolosis
hsa00100,"Steroid biosynthesis",H01143,"Vitamin D-dependent rickets"
hsa04961,"Endocrine and other factor-regulated calcium reabsorption",H01143,"Vitamin D-dependent rickets"
hsa04978,"Mineral absorption",H01143,"Vitamin D-dependent rickets"
hsa00100,"Steroid biosynthesis",H01194,"X-linked chondrodysplasia punctata"
hsa00100,"Steroid biosynthesis",H01281,Lathosterolosis
hsa00100,"Steroid biosynthesis",H01371,"Hypercalcemia infantile"
hsa00100,"Steroid biosynthesis",H01917,"CK syndrome"
hsa00100,"Steroid biosynthesis",H02248,"MEND syndrome"
hsa00120,"Primary bile acid biosynthesis",H00151,"Cerebrotendinous xanthomatosis"
hsa03320,"PPAR signaling pathway",H00151,"Cerebrotendinous xanthomatosis"
hsa00120,"Primary bile acid biosynthesis",H00407,"Peroxisomal beta-oxidation enzyme deficiency"
hsa01040,"Biosynthesis of unsaturated fatty acids",H00407,"Peroxisomal beta-oxidation enzyme deficiency"
hsa03320,"PPAR signaling pathway",H00407,"Peroxisomal beta-oxidation enzyme deficiency"
hsa04146,Peroxisome,H00407,"Peroxisomal beta-oxidation enzyme deficiency"
hsa00120,"Primary bile acid biosynthesis",H00628,"Congenital bile acid synthesis defect"
hsa00140,"Steroid hormone biosynthesis",H00628,"Congenital bile acid synthesis defect"
hsa04146,Peroxisome,H00628,"Congenital bile acid synthesis defect"
hsa00120,"Primary bile acid biosynthesis",H00874,"Leukoencephalopathy with dystonia and motor neuropathy"
hsa03320,"PPAR signaling pathway",H00874,"Leukoencephalopathy with dystonia and motor neuropathy"
hsa04146,Peroxisome,H00874,"Leukoencephalopathy with dystonia and motor neuropathy"
hsa00120,"Primary bile acid biosynthesis",H02095,"Perrault syndrome"
hsa00970,"Aminoacyl-tRNA biosynthesis",H02095,"Perrault syndrome"
hsa00120,"Primary bile acid biosynthesis",H02098,"D-bifunctional protein deficiency"
hsa01040,"Biosynthesis of unsaturated fatty acids",H02098,"D-bifunctional protein deficiency"
hsa04146,Peroxisome,H02098,"D-bifunctional protein deficiency"
hsa00120,"Primary bile acid biosynthesis",H02099,"Alpha-methylacyl-CoA racemase deficiency"
hsa04146,Peroxisome,H02099,"Alpha-methylacyl-CoA racemase deficiency"
hsa00130,"Ubiquinone and other terpenoid-quinone biosynthesis",H00995,"Combined deficiency of vitamin K-dependent clotting factors"
hsa00130,"Ubiquinone and other terpenoid-quinone biosynthesis",H00999,"Coenzyme Q10 deficiency"
hsa00900,"Terpenoid backbone biosynthesis",H00999,"Coenzyme Q10 deficiency"
hsa00130,"Ubiquinone and other terpenoid-quinone biosynthesis",H01614,"Multiple system atrophy"
hsa00140,"Steroid hormone biosynthesis",H00134,"X-linked ichthyosis"
hsa00140,"Steroid hormone biosynthesis",H00216,"Congenital adrenal hyperplasia"
hsa00140,"Steroid hormone biosynthesis",H00258,"Aldosterone synthase deficiency"
hsa00140,"Steroid hormone biosynthesis",H00259,"Apparent mineralocorticoid excess syndrome"
hsa00140,"Steroid hormone biosynthesis",H00602,"Glucocorticoid-remediable aldosteronism (GRA)"
hsa00140,"Steroid hormone biosynthesis",H00608,"46,XY disorder of sex development due to testosterone secretion defect"
hsa00140,"Steroid hormone biosynthesis",H00794,"Aromatase excess syndrome"
hsa00140,"Steroid hormone biosynthesis",H01203,"Primary congenital glaucoma"
hsa00380,"Tryptophan metabolism",H01203,"Primary congenital glaucoma"
hsa00980,"Metabolism of xenobiotics by cytochrome P450",H01203,"Primary congenital glaucoma"
hsa00140,"Steroid hormone biosynthesis",H01709,"Glucocorticoid-induced osteonecrosis"
hsa04066,"HIF-1 signaling pathway",H01709,"Glucocorticoid-induced osteonecrosis"
hsa00140,"Steroid hormone biosynthesis",H02020,"Aromatase deficiency"
hsa04913,"Ovarian steroidogenesis",H02020,"Aromatase deficiency"
hsa00140,"Steroid hormone biosynthesis",H02314,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete"
hsa00190,"Oxidative phosphorylation",H00068,"Leber hereditary optic atrophy"
hsa00190,"Oxidative phosphorylation",H00473,"Mitochondrial complex I deficiency"
hsa00190,"Oxidative phosphorylation",H00920,"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis"
hsa01100,"Metabolic pathways",H00920,"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis"
hsa00190,"Oxidative phosphorylation",H01177,"Infantile bilateral striatal necrosis"
hsa03013,"RNA transport",H01177,"Infantile bilateral striatal necrosis"
hsa00190,"Oxidative phosphorylation",H01200,"Fatal infantile cardioencephalomyopathy"
hsa00190,"Oxidative phosphorylation",H01347,"MELAS Syndrome"
hsa00970,"Aminoacyl-tRNA biosynthesis",H01347,"MELAS Syndrome"
hsa00190,"Oxidative phosphorylation",H01354,"Leigh syndrome"
hsa00190,"Oxidative phosphorylation",H01355,"Kearns-Sayre syndrome"
hsa04260,"Cardiac muscle contraction",H01355,"Kearns-Sayre syndrome"
hsa00190,"Oxidative phosphorylation",H01356,"Myoclonic Epilepsy and Ragged-Red Fiber Disease"
hsa00970,"Aminoacyl-tRNA biosynthesis",H01356,"Myoclonic Epilepsy and Ragged-Red Fiber Disease"
hsa00190,"Oxidative phosphorylation",H01363,"NARP syndrome"
hsa00190,"Oxidative phosphorylation",H01365,"Leber hereditary optic neuropathy and dystonia"
hsa00190,"Oxidative phosphorylation",H01368,"Cytochrome c oxidase (COX) deficiency"
hsa00860,"Porphyrin and chlorophyll metabolism",H01368,"Cytochrome c oxidase (COX) deficiency"
hsa04260,"Cardiac muscle contraction",H01368,"Cytochrome c oxidase (COX) deficiency"
hsa00190,"Oxidative phosphorylation",H01369,"ATP synthase deficiency"
hsa00190,"Oxidative phosphorylation",H01904,"Microphthalmia with linear skin defects syndrome"
hsa00190,"Oxidative phosphorylation",H02086,"Mitochondrial complex III deficiency"
hsa04260,"Cardiac muscle contraction",H02086,"Mitochondrial complex III deficiency"
hsa00220,"Arginine biosynthesis",H00164,"Carbamoyl phosphate synthetase I deficiency"
hsa00250,"Alanine, aspartate and glutamate metabolism",H00164,"Carbamoyl phosphate synthetase I deficiency"
hsa00910,"Nitrogen metabolism",H00164,"Carbamoyl phosphate synthetase I deficiency"
hsa00220,"Arginine biosynthesis",H00185,Citrullinemia
hsa00250,"Alanine, aspartate and glutamate metabolism",H00185,Citrullinemia
hsa00220,"Arginine biosynthesis",H00186,Hyperargininemia
hsa00330,"Arginine and proline metabolism",H00186,Hyperargininemia
hsa00220,"Arginine biosynthesis",H00187,"Ornithine transcarbamylase deficiency"
hsa00220,"Arginine biosynthesis",H00923,"Congenital systemic glutamine deficiency"
hsa00250,"Alanine, aspartate and glutamate metabolism",H00923,"Congenital systemic glutamine deficiency"
hsa00910,"Nitrogen metabolism",H00923,"Congenital systemic glutamine deficiency"
hsa04724,"Glutamatergic synapse",H00923,"Congenital systemic glutamine deficiency"
hsa04727,"GABAergic synapse",H00923,"Congenital systemic glutamine deficiency"
hsa00220,"Arginine biosynthesis",H01028,"Argininosuccinic aciduria"
hsa00250,"Alanine, aspartate and glutamate metabolism",H01028,"Argininosuccinic aciduria"
hsa00220,"Arginine biosynthesis",H01032,"N-acetylglutamate synthase deficiency"
hsa00220,"Arginine biosynthesis",H01146,"Aminoacylase 1 deficiency"
hsa00220,"Arginine biosynthesis",H01398,"Primary hyperammonemic disorders (Urea cycle disorders)"
hsa00230,"Purine metabolism",H00184,Hypermethioninemia
hsa00260,"Glycine, serine and threonine metabolism",H00184,Hypermethioninemia
hsa00270,"Cysteine and methionine metabolism",H00184,Hypermethioninemia
hsa00450,"Selenocompound metabolism",H00184,Hypermethioninemia
hsa00230,"Purine metabolism",H00192,Xanthinuria
hsa04122,"Sulfur relay system",H00192,Xanthinuria
hsa00230,"Purine metabolism",H00194,"Lesch-Nyhan syndrome"
hsa00230,"Purine metabolism",H00195,"Adenine phosphoribosyltransferase deficiency"
hsa00230,"Purine metabolism",H00197,"Adenylosuccinate lyase deficiency"
hsa00250,"Alanine, aspartate and glutamate metabolism",H00197,"Adenylosuccinate lyase deficiency"
hsa00230,"Purine metabolism",H00481,"Cone-rod dystrophy and cone dystrophy"
hsa04744,Phototransduction,H00481,"Cone-rod dystrophy and cone dystrophy"
hsa00230,"Purine metabolism",H00494,"Desbuquois syndrome"
hsa00240,"Pyrimidine metabolism",H00494,"Desbuquois syndrome"
hsa00532,"Glycosaminoglycan biosynthesis",H00494,"Desbuquois syndrome"
hsa00534,"Glycosaminoglycan biosynthesis",H00494,"Desbuquois syndrome"
hsa00230,"Purine metabolism",H00674,"Anemia due to disorders of nucleotide metabolism"
hsa00240,"Pyrimidine metabolism",H00674,"Anemia due to disorders of nucleotide metabolism"
hsa00230,"Purine metabolism",H00761,"SEMD, Pakistani type"
hsa00450,"Selenocompound metabolism",H00761,"SEMD, Pakistani type"
hsa00920,"Sulfur metabolism",H00761,"SEMD, Pakistani type"
hsa01100,"Metabolic pathways",H00761,"SEMD, Pakistani type"
hsa00230,"Purine metabolism",H00824,"Calcification of joints and arteries"
hsa00240,"Pyrimidine metabolism",H00824,"Calcification of joints and arteries"
hsa00760,"Nicotinate and nicotinamide metabolism",H00824,"Calcification of joints and arteries"
hsa01100,"Metabolic pathways",H00824,"Calcification of joints and arteries"
hsa00230,"Purine metabolism",H00837,"Leber congenital amaurosis"
hsa00830,"Retinol metabolism",H00837,"Leber congenital amaurosis"
hsa04744,Phototransduction,H00837,"Leber congenital amaurosis"
hsa00230,"Purine metabolism",H00966,AICA-ribosiduria
hsa00670,"One carbon pool by folate",H00966,AICA-ribosiduria
hsa00230,"Purine metabolism",H01002,"Generalized arterial calcification of infancy"
hsa00500,"Starch and sucrose metabolism",H01002,"Generalized arterial calcification of infancy"
hsa00740,"Riboflavin metabolism",H01002,"Generalized arterial calcification of infancy"
hsa00760,"Nicotinate and nicotinamide metabolism",H01002,"Generalized arterial calcification of infancy"
hsa00770,"Pantothenate and CoA biosynthesis",H01002,"Generalized arterial calcification of infancy"
hsa01100,"Metabolic pathways",H01002,"Generalized arterial calcification of infancy"
hsa00230,"Purine metabolism",H01128,"Reticular dysgenesis"
hsa00230,"Purine metabolism",H01394,"Cole disease"
hsa00500,"Starch and sucrose metabolism",H01394,"Cole disease"
hsa00740,"Riboflavin metabolism",H01394,"Cole disease"
hsa00760,"Nicotinate and nicotinamide metabolism",H01394,"Cole disease"
hsa00770,"Pantothenate and CoA biosynthesis",H01394,"Cole disease"
hsa00230,"Purine metabolism",H01532,Gout
hsa00230,"Purine metabolism",H01570,"Autosomal dominant striatal degeneration"
hsa00230,"Purine metabolism",H02237,"AMP deaminase deficiency"
hsa00230,"Purine metabolism",H02309,"Adenosine deaminase deficiency"
hsa00230,"Purine metabolism",H02388,"Infantile-onset limb and orofacial dyskinesia"
hsa04024,"cAMP signaling pathway",H02388,"Infantile-onset limb and orofacial dyskinesia"
hsa00240,"Pyrimidine metabolism",H00193,"Dihydropyrimidine dehydrogenase deficiency"
hsa00983,"Drug metabolism",H00193,"Dihydropyrimidine dehydrogenase deficiency"
hsa00240,"Pyrimidine metabolism",H00198,"Orotic aciduria"
hsa00240,"Pyrimidine metabolism",H00199,"Dihydropyrimidinase deficiency"
hsa00983,"Drug metabolism",H00199,"Dihydropyrimidinase deficiency"
hsa00240,"Pyrimidine metabolism",H00200,"Beta-ureidopropionase deficiency"
hsa00983,"Drug metabolism",H00200,"Beta-ureidopropionase deficiency"
hsa00240,"Pyrimidine metabolism",H01376,"Acrofacial dysostosis"
hsa03040,Spliceosome,H01376,"Acrofacial dysostosis"
hsa00240,"Pyrimidine metabolism",H01390,"Mitochondrial neurogastrointestinal encephalomyopathy"
hsa00250,"Alanine, aspartate and glutamate metabolism",H00074,"Canavan disease"
hsa00250,"Alanine, aspartate and glutamate metabolism",H00835,"Succinic semialdehyde dehydrogenase deficiency"
hsa00650,"Butanoate metabolism",H00835,"Succinic semialdehyde dehydrogenase deficiency"
hsa00250,"Alanine, aspartate and glutamate metabolism",H01257,"GABA-transaminase deficiency"
hsa00250,"Alanine, aspartate and glutamate metabolism",H01386,"Asparagine synthetase deficiency"
hsa00260,"Glycine, serine and threonine metabolism",H00117,"Primary hyperoxaluria"
hsa00630,"Glyoxylate and dicarboxylate metabolism",H00117,"Primary hyperoxaluria"
hsa00260,"Glycine, serine and threonine metabolism",H00182,Cystathioninuria
hsa00270,"Cysteine and methionine metabolism",H00182,Cystathioninuria
hsa00260,"Glycine, serine and threonine metabolism",H00183,Homocystinuria
hsa00270,"Cysteine and methionine metabolism",H00183,Homocystinuria
hsa00450,"Selenocompound metabolism",H00183,Homocystinuria
hsa00670,"One carbon pool by folate",H00183,Homocystinuria
hsa00260,"Glycine, serine and threonine metabolism",H00191,"Nonketotic hyperglycinemia"
hsa00260,"Glycine, serine and threonine metabolism",H00834,"Guanidinoacetate methyltransferase deficiency"
hsa00330,"Arginine and proline metabolism",H00834,"Guanidinoacetate methyltransferase deficiency"
hsa00260,"Glycine, serine and threonine metabolism",H00849,"Cerebral creatine deficiency syndrome"
hsa00330,"Arginine and proline metabolism",H00849,"Cerebral creatine deficiency syndrome"
hsa00260,"Glycine, serine and threonine metabolism",H01003,"Dimethylglycine dehydrogenase deficiency"
hsa00260,"Glycine, serine and threonine metabolism",H01079,"3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency"
hsa00260,"Glycine, serine and threonine metabolism",H01082,"Phosphoserine aminotransferase deficiency"
hsa00750,"Vitamin B6 metabolism",H01082,"Phosphoserine aminotransferase deficiency"
hsa00260,"Glycine, serine and threonine metabolism",H02116,"Phosphoserine phosphatase deficiency"
hsa00260,"Glycine, serine and threonine metabolism",H02117,"Neu-Laxova syndrome"
hsa00750,"Vitamin B6 metabolism",H02117,"Neu-Laxova syndrome"
hsa00270,"Cysteine and methionine metabolism",H00597,"Snyder-Robinson syndrome"
hsa00330,"Arginine and proline metabolism",H00597,"Snyder-Robinson syndrome"
hsa00410,"beta-Alanine metabolism",H00597,"Snyder-Robinson syndrome"
hsa00480,"Glutathione metabolism",H00597,"Snyder-Robinson syndrome"
hsa00270,"Cysteine and methionine metabolism",H01285,"Methylcobalamin deficiency type G"
hsa00450,"Selenocompound metabolism",H01285,"Methylcobalamin deficiency type G"
