identifier,name,M
DB00148,Creatine,6
DB00149,Leucine,6
DB00150,Tryptophan,3
DB00151,Cysteine,13
DB00152,Thiamine,1
DB00153,Ergocalciferol,27
DB00154,"Dihomo-gamma-linolenic acid",2
DB00155,Citrulline,12
DB00156,Threonine,2
DB00157,NADH,144
DB00158,"Folic acid",3
DB00159,Icosapent,10
DB00160,Alanine,13
DB00161,Valine,3
DB00162,"Vitamin A",15
DB00163,"Vitamin E",10
DB00165,Pyridoxine,1
DB00166,"Lipoic acid",3
DB00167,Isoleucine,5
DB00168,Aspartame,3
DB00169,Cholecalciferol,1
DB00170,Menadione,10
DB00171,ATP,42
DB00172,Proline,21
DB00173,Adenine,10
DB00174,Asparagine,9
DB00175,Pravastatin,2
DB00176,Fluvoxamine,2
DB00177,Valsartan,1
DB00178,Ramipril,2
DB00179,Masoprocol,2
DB00180,Flunisolide,1
DB00181,Baclofen,2
DB00182,Amphetamine,19
DB00183,Pentagastrin,1
DB00184,Nicotine,13
DB00185,Cevimeline,2
DB00186,Lorazepam,23
DB00187,Esmolol,1
DB00188,Bortezomib,2
DB00189,Ethchlorvynol,16
DB00190,Carbidopa,1
DB00191,Phentermine,6
DB00192,Indecainide,1
DB00193,Tramadol,22
DB00194,Vidarabine,3
DB00195,Betaxolol,2
DB00196,Fluconazole,1
DB00197,Troglitazone,9
DB00198,Oseltamivir,3
DB00199,Erythromycin,2
DB00200,Hydroxocobalamin,7
DB00201,Caffeine,39
DB00202,Succinylcholine,4
DB00203,Sildenafil,3
DB00204,Dofetilide,3
DB00205,Pyrimethamine,3
DB00206,Reserpine,3
DB00207,Azithromycin,1
DB00208,Ticlopidine,1
DB00209,Trospium,2
DB00210,Adapalene,9
DB00211,Midodrine,3
DB00212,Remikiren,1
DB00213,Pantoprazole,2
DB00214,Torasemide,2
DB00215,Citalopram,2
DB00216,Eletriptan,4
DB00217,Bethanidine,7
DB00218,Moxifloxacin,3
DB00219,Oxyphenonium,1
DB00220,Nelfinavir,0
DB00221,Isoetharine,2
DB00222,Glimepiride,3
DB00223,Diflorasone,1
DB00224,Indinavir,0
DB00226,Guanadrel,1
DB00227,Lovastatin,3
DB00228,Enflurane,97
DB00229,Cefotiam,1
DB00230,Pregabalin,1
DB00231,Temazepam,23
DB00232,Methyclothiazide,4
DB00233,"Aminosalicylic acid",4
DB00234,Reboxetine,1
DB00235,Milrinone,1
DB00236,Pipobroman,0
DB00237,Butabarbital,36
DB00238,Nevirapine,0
DB00239,Oxiconazole,3
DB00240,Alclometasone,1
DB00241,Butalbital,26
DB00242,Cladribine,9
DB00243,Ranolazine,30
DB00244,Mesalazine,8
DB00245,Benzatropine,5
DB00246,Ziprasidone,30
DB00247,Methysergide,8
DB00248,Cabergoline,22
DB00249,Idoxuridine,1
DB00250,Dapsone,2
DB00251,Terconazole,1
DB00252,Phenytoin,33
DB00253,Medrysone,1
DB00254,Doxycycline,0
DB00255,Diethylstilbestrol,9
DB00256,Lymecycline,1
DB00257,Clotrimazole,4
DB00258,"Calcium acetate",0
DB00259,Sulfanilamide,1
DB00260,Cycloserine,2
DB00261,Anagrelide,1
DB00262,Carmustine,1
DB00263,Sulfisoxazole,1
DB00264,Metoprolol,2
DB00266,Dicoumarol,3
DB00267,Cefmenoxime,2
DB00268,Ropinirole,9
DB00269,Chlorotrianisene,1
DB00270,Isradipine,7
DB00272,Betazole,1
DB00273,Topiramate,29
DB00274,Cefmetazole,5
DB00275,Olmesartan,1
DB00276,Amsacrine,4
DB00277,Theophylline,14
DB00278,Argatroban,1
DB00279,Liothyronine,3
DB00280,Disopyramide,8
DB00281,Lidocaine,7
DB00282,"Pamidronic acid",4
DB00283,Clemastine,1
DB00284,Acarbose,4
DB00285,Venlafaxine,3
DB00286,"Conjugated estrogens",2
DB00287,Travoprost,1
DB00288,Amcinonide,2
DB00289,Atomoxetine,11
DB00290,Bleomycin,2
DB00291,Chlorambucil,0
DB00292,Etomidate,18
DB00293,Raltitrexed,2
DB00294,Etonogestrel,1
DB00295,Morphine,4
DB00296,Ropivacaine,1
DB00297,Bupivacaine,2
DB00298,Dapiprazole,3
DB00299,Penciclovir,2
DB00300,"Tenofovir disoproxil",1
DB00301,Flucloxacillin,1
DB00302,"Tranexamic acid",1
DB00303,Ertapenem,8
DB00304,Desogestrel,2
DB00305,Mitomycin,0
DB00306,Talbutal,26
DB00307,Bexarotene,3
DB00308,Ibutilide,10
DB00309,Vindesine,1
DB00310,Chlorthalidone,2
DB00311,Ethoxzolamide,5
DB00312,Pentobarbital,34
DB00313,"Valproic acid",22
DB00314,Capreomycin,1
DB00315,Zolmitriptan,8
DB00316,Acetaminophen,4
DB00317,Gefitinib,1
DB00318,Codeine,3
DB00319,Piperacillin,1
DB00320,Dihydroergotamine,4
DB00321,Amitriptyline,34
DB00322,Floxuridine,1
DB00323,Tolcapone,1
DB00324,Fluorometholone,1
DB00325,Nitroprusside,1
DB00327,Hydromorphone,3
DB00328,Indomethacin,9
DB00330,Ethambutol,3
DB00331,Metformin,3
DB00332,Ipratropium,3
DB00333,Methadone,14
DB00334,Olanzapine,33
DB00335,Atenolol,2
DB00336,Nitrofural,1
DB00337,Pimecrolimus,2
DB00338,Omeprazole,2
DB00339,Pyrazinamide,0
DB00340,Metixene,5
DB00341,Cetirizine,1
DB00342,Terfenadine,7
DB00343,Diltiazem,2
DB00344,Protriptyline,2
DB00346,Alfuzosin,4
DB00347,Trimethadione,1
DB00348,Nitisinone,1
DB00349,Clobazam,23
DB00350,Minoxidil,3
DB00351,"Megestrol acetate",2
DB00352,Tioguanine,0
DB00353,Methylergometrine,2
DB00354,Buclizine,2
DB00355,Aztreonam,2
DB00356,Chlorzoxazone,1
DB00357,Aminoglutethimide,2
DB00358,Mefloquine,1
DB00359,Sulfadiazine,0
DB00360,Sapropterin,4
DB00361,Vinorelbine,1
DB00362,Anidulafungin,1
DB00363,Clozapine,27
DB00364,Sucralfate,6
DB00365,Grepafloxacin,2
DB00366,Doxylamine,7
DB00367,Levonorgestrel,6
DB00368,Norepinephrine,12
DB00369,Cidofovir,1
DB00370,Mirtazapine,8
DB00371,Meprobamate,22
DB00372,Thiethylperazine,1
DB00373,Timolol,3
DB00374,Treprostinil,3
DB00375,Colestipol,0
DB00376,Trihexyphenidyl,5
DB00377,Palonosetron,1
DB00378,Dydrogesterone,1
DB00379,Mexiletine,2
DB00380,Dexrazoxane,2
DB00381,Amlodipine,8
DB00382,Tacrine,3
DB00383,Oxyphencyclimine,3
DB00384,Triamterene,4
DB00385,Valrubicin,1
DB00387,Procyclidine,4
DB00388,Phenylephrine,3
DB00389,Carbimazole,1
DB00390,Digoxin,1
DB00391,Sulpiride,4
DB00392,Profenamine,3
DB00393,Nimodipine,10
DB00394,"Beclomethasone dipropionate",1
DB00395,Carisoprodol,5
DB00396,Progesterone,10
DB00397,Phenylpropanolamine,6
DB00398,Sorafenib,10
DB00399,"Zoledronic acid",2
DB00400,Griseofulvin,2
DB00401,Nisoldipine,5
DB00402,Eszopiclone,20
DB00403,Ceruletide,1
DB00404,Alprazolam,23
DB00405,Dexbrompheniramine,1
DB00406,"Gentian violet cation",0
DB00407,Ardeparin,2
DB00408,Loxapine,34
DB00409,Remoxipride,5
DB00410,Mupirocin,1
DB00411,Carbamoylcholine,6
DB00412,Rosiglitazone,7
DB00413,Pramipexole,5
DB00414,Acetohexamide,1
DB00415,Ampicillin,5
DB00416,"Metocurine iodide",1
DB00417,Phenoxymethylpenicillin,4
DB00418,Secobarbital,17
DB00419,Miglustat,1
DB00420,Promazine,6
DB00421,Spironolactone,37
DB00422,Methylphenidate,3
DB00423,Methocarbamol,1
DB00424,Hyoscyamine,4
DB00425,Zolpidem,4
DB00426,Famciclovir,1
DB00427,Triprolidine,1
DB00428,Streptozocin,3
DB00429,"Carboprost tromethamine",1
DB00430,Cefpiramide,5
DB00431,Lindane,10
DB00432,Trifluridine,1
DB00433,Prochlorperazine,8
DB00434,Cyproheptadine,7
DB00435,"Nitric Oxide",3
DB00436,Bendroflumethiazide,5
DB00437,Allopurinol,1
DB00438,Ceftazidime,6
DB00439,Cerivastatin,1
DB00440,Trimethoprim,1
DB00441,Gemcitabine,3
DB00442,Entecavir,0
DB00443,Betamethasone,1
DB00444,Teniposide,1
DB00445,Epirubicin,1
DB00446,Chloramphenicol,3
DB00447,Loracarbef,1
DB00448,Lansoprazole,2
DB00449,Dipivefrin,5
DB00450,Droperidol,2
DB00451,Levothyroxine,4
DB00452,Framycetin,2
DB00453,Clomocycline,2
DB00454,Meperidine,16
DB00455,Loratadine,2
DB00456,Cefalotin,5
DB00457,Prazosin,9
DB00458,Imipramine,25
DB00459,Acitretin,7
DB00461,Nabumetone,2
DB00462,"Methscopolamine bromide",3
DB00463,Metharbital,26
DB00464,"Sodium tetradecyl sulfate",2
DB00465,Ketorolac,2
DB00466,Picrotoxin,5
DB00467,Enoxacin,3
DB00468,Quinine,2
DB00469,Tenoxicam,2
DB00470,Dronabinol,2
DB00471,Montelukast,2
DB00472,Fluoxetine,7
DB00473,Hexylcaine,2
DB00474,Methohexital,1
DB00475,Chlordiazepoxide,23
DB00476,Duloxetine,3
DB00477,Chlorpromazine,32
DB00478,Rimantadine,1
DB00479,Amikacin,1
DB00480,Lenalidomide,4
DB00481,Raloxifene,4
DB00482,Celecoxib,4
DB00483,"Gallamine triethiodide",5
DB00484,Brimonidine,3
DB00485,Dicloxacillin,2
DB00486,Nabilone,2
DB00487,Pefloxacin,4
DB00488,Altretamine,0
DB00489,Sotalol,3
DB00490,Buspirone,7
DB00491,Miglitol,4
DB00492,Fosinopril,1
DB00493,Cefotaxime,10
DB00494,Entacapone,1
DB00495,Zidovudine,1
DB00496,Darifenacin,5
DB00497,Oxycodone,3
DB00498,Phenindione,1
DB00499,Flutamide,3
DB00500,Tolmetin,2
DB00501,Cimetidine,1
DB00502,Haloperidol,18
DB00503,Ritonavir,1
DB00504,Levallorphan,1
DB00505,Tridihexethyl,3
DB00507,Nitazoxanide,1
DB00508,Triflupromazine,5
DB00509,Dextrothyroxine,3
DB00511,Acetyldigitoxin,1
DB00512,Vancomycin,0
DB00513,"Aminocaproic acid",3
DB00514,Dextromethorphan,21
DB00515,Cisplatin,4
DB00517,"Anisotropine methylbromide",3
DB00518,Albendazole,3
DB00519,Trandolapril,1
DB00520,Caspofungin,1
DB00521,Carteolol,2
DB00522,Bentiromide,1
DB00523,Alitretinoin,9
DB00524,Metolazone,1
DB00525,Tolnaftate,1
DB00526,Oxaliplatin,0
DB00527,Cinchocaine,3
DB00528,Lercanidipine,1
DB00529,Foscarnet,2
DB00530,Erlotinib,2
DB00531,Cyclophosphamide,1
DB00532,Mephenytoin,2
DB00533,Rofecoxib,2
DB00534,Chlormerodrin,2
DB00535,Cefdinir,2
DB00536,Guanidine,6
DB00537,Ciprofloxacin,9
DB00539,Toremifene,2
DB00540,Nortriptyline,24
DB00541,Vincristine,2
DB00542,Benazepril,1
DB00543,Amoxapine,48
DB00544,Fluorouracil,1
DB00545,Pyridostigmine,3
DB00546,Adinazolam,23
DB00547,Desoximetasone,1
DB00548,"Azelaic acid",5
DB00549,Zafirlukast,1
DB00550,Propylthiouracil,1
DB00551,"Acetohydroxamic acid",2
DB00552,Pentostatin,1
DB00553,Methoxsalen,0
DB00554,Piroxicam,2
DB00555,Lamotrigine,48
DB00557,Hydroxyzine,2
DB00558,Zanamivir,3
DB00559,Bosentan,2
DB00560,Tigecycline,5
DB00561,Doxapram,2
DB00562,Benzthiazide,17
DB00563,Methotrexate,3
DB00564,Carbamazepine,12
DB00565,Cisatracurium,1
DB00566,Succimer,0
DB00567,Cephalexin,2
DB00568,Cinnarizine,16
DB00569,Fondaparinux,2
DB00570,Vinblastine,6
DB00571,Propranolol,5
DB00572,Atropine,8
DB00573,Fenoprofen,4
DB00574,Fenfluramine,7
DB00575,Clonidine,6
DB00576,Sulfamethizole,1
DB00577,Valaciclovir,2
DB00578,Carbenicillin,7
DB00579,Mazindol,4
DB00580,Valdecoxib,3
DB00581,Lactulose,1
DB00582,Voriconazole,1
DB00583,Levocarnitine,11
DB00584,Enalapril,1
DB00585,Nizatidine,1
DB00586,Diclofenac,2
DB00587,Cinalukast,1
DB00588,"Fluticasone propionate",4
DB00589,Lisuride,15
DB00590,Doxazosin,6
DB00591,"Fluocinolone acetonide",6
DB00592,Piperazine,1
DB00593,Ethosuximide,1
DB00594,Amiloride,9
DB00595,Oxytetracycline,2
DB00596,Ulobetasol,1
DB00598,Labetalol,5
DB00599,Thiopental,12
DB00600,Monobenzone,1
DB00601,Linezolid,0
DB00602,Ivermectin,2
DB00603,"Medroxyprogesterone acetate",19
DB00604,Cisapride,4
DB00605,Sulindac,7
DB00606,Cyclothiazide,15
DB00607,Nafcillin,2
DB00608,Chloroquine,7
DB00609,Ethionamide,2
DB00610,Metaraminol,1
DB00611,Butorphanol,3
DB00612,Bisoprolol,2
DB00613,Amodiaquine,1
DB00614,Furazolidone,0
DB00615,Rifabutin,5
DB00616,Candoxatril,2
DB00617,Paramethadione,1
DB00618,Demeclocycline,1
DB00619,Imatinib,8
DB00620,Triamcinolone,1
DB00621,Oxandrolone,1
DB00622,Nicardipine,15
DB00623,Fluphenazine,6
DB00624,Testosterone,3
DB00625,Efavirenz,0
DB00626,Bacitracin,2
DB00627,Niacin,4
DB00628,"Clorazepic acid",23
DB00629,Guanabenz,2
DB00630,"Alendronic acid",5
DB00631,Clofarabine,2
DB00632,Docosanol,2
DB00633,Dexmedetomidine,1
DB00634,Sulfacetamide,3
DB00635,Prednisone,1
DB00636,Clofibrate,1
DB00637,Astemizole,4
DB00638,Inulin,0
DB00639,Butoconazole,0
DB00640,Adenosine,4
DB00641,Simvastatin,3
DB00642,Pemetrexed,4
DB00643,Mebendazole,2
DB00644,Gonadorelin,2
DB00645,Dyclonine,1
DB00646,Nystatin,0
DB00647,Dextropropoxyphene,4
DB00648,Mitotane,5
DB00649,Stavudine,0
DB00651,Dyphylline,6
DB00652,Pentazocine,3
DB00653,"Magnesium sulfate",9
DB00654,Latanoprost,1
DB00655,Estrone,5
DB00656,Trazodone,8
DB00657,Mecamylamine,4
DB00658,Sevelamer,0
DB00659,Acamprosate,24
DB00661,Verapamil,11
DB00663,Flumethasone,1
DB00664,Sulfametopyrazine,0
DB00665,Nilutamide,1
DB00666,Nafarelin,2
DB00668,Epinephrine,8
DB00669,Sumatriptan,4
DB00670,Pirenzepine,1
DB00671,Cefixime,1
DB00672,Chlorpropamide,1
DB00673,Aprepitant,1
DB00674,Galantamine,3
DB00675,Tamoxifen,17
DB00677,Isoflurophate,3
DB00678,Losartan,1
DB00679,Thioridazine,6
DB00680,Moricizine,1
DB00681,"Amphotericin B",0
DB00682,Warfarin,2
DB00683,Midazolam,23
DB00684,Tobramycin,1
DB00685,Trovafloxacin,3
DB00686,"Pentosan polysulfate",3
DB00687,Fludrocortisone,2
DB00688,"Mycophenolate mofetil",3
DB00689,Cephaloglycin,1
DB00690,Flurazepam,23
DB00691,Moexipril,1
DB00692,Phentolamine,4
DB00693,Fluorescein,1
DB00694,Daunorubicin,2
DB00695,Furosemide,3
DB00696,Ergotamine,15
DB00697,Tizanidine,7
DB00698,Nitrofurantoin,3
DB00699,Nicergoline,1
DB00700,Eplerenone,1
DB00701,Amprenavir,0
DB00703,Methazolamide,5
DB00704,Naltrexone,3
DB00705,Delavirdine,0
DB00706,Tamsulosin,3
DB00707,"Porfimer sodium",2
DB00708,Sufentanil,3
DB00709,Lamivudine,1
DB00710,Ibandronate,2
DB00711,Diethylcarbamazine,2
DB00712,Flurbiprofen,2
DB00713,Oxacillin,5
DB00714,Apomorphine,14
DB00715,Paroxetine,38
DB00716,Nedocromil,5
DB00717,Norethisterone,3
DB00718,"Adefovir dipivoxil",1
DB00719,Azatadine,1
DB00720,"Clodronic acid",3
DB00721,Procaine,20
DB00722,Lisinopril,2
DB00723,Methoxamine,3
DB00724,Imiquimod,2
DB00725,"Homatropine methylbromide",5
DB00726,Trimipramine,25
DB00727,Nitroglycerin,1
DB00728,Rocuronium,3
DB00730,Thiabendazole,1
DB00731,Nateglinide,2
DB00732,"Atracurium besylate",1
DB00733,Pralidoxime,2
DB00734,Risperidone,12
DB00735,Naftifine,1
DB00736,Esomeprazole,2
DB00737,Meclizine,2
DB00738,Pentamidine,1
DB00739,Hetacillin,2
DB00740,Riluzole,2
DB00741,Hydrocortisone,2
DB00744,Zileuton,1
DB00745,Modafinil,2
DB00746,Deferoxamine,1
DB00747,Scopolamine,8
DB00748,Carbinoxamine,1
DB00749,Etodolac,3
DB00750,Prilocaine,1
DB00751,Epinastine,6
DB00752,Tranylcypromine,2
DB00753,Isoflurane,25
DB00754,Ethotoin,2
DB00755,Tretinoin,18
DB00756,Hexachlorophene,4
DB00757,Dolasetron,1
DB00758,Clopidogrel,1
DB00759,Tetracycline,7
DB00760,Meropenem,1
DB00761,"Potassium chloride",6
DB00762,Irinotecan,2
DB00763,Methimazole,1
DB00764,Mometasone,2
DB00765,Metyrosine,1
DB00766,"Clavulanic acid",0
DB00767,Benzquinamide,6
DB00768,Olopatadine,8
DB00769,Hydrocortamate,1
DB00770,Alprostadil,3
DB00771,Clidinium,1
DB00772,Malathion,1
DB00773,Etoposide,2
DB00774,Hydroflumethiazide,9
DB00775,Tirofiban,2
DB00776,Oxcarbazepine,14
DB00777,Propiomazine,10
DB00778,Roxithromycin,2
DB00779,"Nalidixic acid",0
DB00780,Phenelzine,6
DB00781,"Polymyxin B",0
DB00782,Propantheline,1
DB00783,Estradiol,7
DB00784,"Mefenamic acid",2
DB00785,Cryptenamine,4
DB00786,Marimastat,23
DB00787,Acyclovir,3
DB00788,Naproxen,3
DB00789,"Gadopentetic acid",1
DB00790,Perindopril,2
DB00791,"Uracil mustard",0
DB00792,Tripelennamine,1
DB00794,Primidone,26
DB00795,Sulfasalazine,10
DB00796,"Candesartan cilexetil",1
DB00797,Tolazoline,6
DB00798,Gentamicin,4
DB00799,Tazarotene,4
DB00800,Fenoldopam,8
DB00801,Halazepam,23
DB00802,Alfentanil,1
DB00803,Colistin,0
DB00804,Dicyclomine,2
DB00805,Minaprine,9
DB00806,Pentoxifylline,3
DB00807,Proparacaine,1
DB00808,Indapamide,1
DB00809,Tropicamide,4
DB00810,Biperiden,1
DB00811,Ribavirin,5
DB00812,Phenylbutazone,3
DB00813,Fentanyl,4
DB00814,Meloxicam,2
DB00816,Orciprenaline,1
DB00817,Rosoxacin,2
DB00818,Propofol,20
DB00819,Acetazolamide,8
DB00820,Tadalafil,2
DB00821,Carprofen,2
DB00822,Disulfiram,2
DB00823,"Ethynodiol diacetate",2
DB00824,Enprofylline,6
DB00825,Levomenthol,13
DB00826,Natamycin,0
DB00827,Cinoxacin,1
DB00828,Fosfomycin,1
DB00829,Diazepam,23
DB00830,Phenmetrazine,2
DB00831,Trifluoperazine,6
DB00833,Cefaclor,1
DB00834,Mifepristone,4
DB00835,Brompheniramine,6
DB00836,Loperamide,7
DB00837,Progabide,2
DB00838,Clocortolone,1
DB00839,Tolazamide,2
DB00841,Dobutamine,6
DB00842,Oxazepam,23
DB00843,Donepezil,15
DB00844,Nalbuphine,3
DB00845,Clofazimine,2
DB00846,Flurandrenolide,1
DB00847,Cysteamine,1
DB00848,Levamisole,6
DB00849,Methylphenobarbital,11
DB00850,Perphenazine,3
DB00851,Dacarbazine,2
DB00852,Pseudoephedrine,21
DB00853,Temozolomide,0
DB00854,Levorphanol,3
DB00855,"Aminolevulinic acid",1
DB00857,Terbinafine,2
DB00858,Drostanolone,1
DB00859,Penicillamine,0
DB00860,Prednisolone,1
DB00861,Diflunisal,2
DB00862,Vardenafil,3
DB00863,Ranitidine,2
DB00864,Tacrolimus,1
DB00865,Benzphetamine,4
DB00866,Alprenolol,4
DB00867,Ritodrine,1
DB00868,Benzonatate,1
DB00869,Dorzolamide,4
DB00870,Suprofen,2
DB00871,Terbutaline,3
DB00872,Conivaptan,2
DB00874,Guaifenesin,7
DB00875,Flupentixol,5
DB00876,Eprosartan,1
DB00877,Sirolimus,3
DB00878,Chlorhexidine,0
DB00879,Emtricitabine,0
DB00880,Chlorothiazide,3
DB00881,Quinapril,1
DB00882,Clomifene,2
DB00883,"Isosorbide dinitrate",1
DB00884,"Risedronic acid",1
DB00886,Omapatrilat,2
DB00887,Bumetanide,5
DB00888,Mechlorethamine,0
DB00889,Granisetron,1
DB00890,Dienestrol,2
DB00891,Sulfapyridine,1
DB00892,Oxybuprocaine,1
DB00893,"Iron Dextran",4
DB00894,Testolactone,1
DB00895,"Benzylpenicilloyl polylysine",2
DB00896,Rimexolone,1
DB00897,Triazolam,23
DB00898,Ethanol,52
DB00899,Remifentanil,3
DB00900,Didanosine,1
DB00901,Bitolterol,1
DB00902,Methdilazine,1
DB00903,"Etacrynic acid",4
DB00904,Ondansetron,5
DB00905,Bimatoprost,3
DB00906,Tiagabine,1
DB00907,Cocaine,21
DB00908,Quinidine,7
DB00909,Zonisamide,31
DB00910,Paricalcitol,1
DB00911,Tinidazole,0
DB00912,Repaglinide,2
DB00913,Anileridine,1
DB00914,Phenformin,2
DB00915,Amantadine,6
DB00916,Metronidazole,1
DB00917,Dinoprostone,5
DB00918,Almotriptan,2
DB00919,Spectinomycin,1
DB00920,Ketotifen,2
DB00921,Buprenorphine,4
DB00922,Levosimendan,4
DB00923,Ceforanide,0
DB00924,Cyclobenzaprine,9
DB00925,Phenoxybenzamine,8
DB00926,Etretinate,6
DB00927,Famotidine,1
DB00928,Azacitidine,1
DB00929,Misoprostol,4
DB00930,Colesevelam,0
DB00931,Metacycline,0
DB00932,Tipranavir,0
DB00933,Mesoridazine,2
DB00934,Maprotiline,17
DB00935,Oxymetazoline,6
DB00936,"Salicylic acid",3
DB00937,Diethylpropion,2
DB00938,Salmeterol,3
DB00939,"Meclofenamic acid",5
DB00940,Methantheline,6
DB00941,Hexafluronium,1
DB00942,Cycrimine,1
DB00943,Zalcitabine,0
DB00944,Demecarium,2
DB00945,"Acetylsalicylic acid",28
DB00946,Phenprocoumon,1
DB00947,Fulvestrant,1
DB00948,Mezlocillin,2
DB00949,Felbamate,2
DB00950,Fexofenadine,1
DB00951,Isoniazid,7
DB00952,Naratriptan,4
DB00953,Rizatriptan,3
DB00954,Dirithromycin,0
DB00955,Netilmicin,1
DB00956,Hydrocodone,3
DB00957,Norgestimate,3
DB00958,Carboplatin,0
DB00959,Methylprednisolone,2
DB00960,Pindolol,5
DB00961,Mepivacaine,1
DB00962,Zaleplon,1
DB00963,Bromfenac,2
DB00964,Apraclonidine,3
DB00966,Telmisartan,2
DB00967,Desloratadine,1
DB00968,Methyldopa,2
DB00969,Alosetron,1
DB00970,Dactinomycin,2
DB00972,Azelastine,4
DB00973,Ezetimibe,3
DB00974,"Edetic acid",0
DB00975,Dipyridamole,6
DB00976,Telithromycin,0
DB00977,Ethinylestradiol,2
DB00978,Lomefloxacin,3
DB00979,Cyclopentolate,1
DB00980,Ramelteon,2
DB00981,Physostigmine,3
DB00982,Isotretinoin,2
DB00983,Formoterol,3
DB00984,"Nandrolone phenpropionate",1
DB00985,Dimenhydrinate,1
DB00986,Glycopyrronium,3
DB00987,Cytarabine,1
DB00988,Dopamine,17
DB00989,Rivastigmine,2
DB00990,Exemestane,1
DB00991,Oxaprozin,2
DB00993,Azathioprine,1
